"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7392233	7893904	8398226	8881519	9359400	9847909	10352435	10868444	11388551	11911465	12442757	12989484	13555593	14141742	14747972	15370937	16004122	16641244
"More developed regions"	901	1270029	1301526	1332073	1358551	1382563	1407397	1436322	1470258	1506813	1544393	1583215	1624912	1671264	1723031	1779431	1838735	1899123	1959544
"Less developed regions"	902	6122204	6592377	7066154	7522968	7976836	8440512	8916113	9398185	9881737	10367073	10859542	11364573	11884329	12418711	12968540	13532202	14104999	14681700
"Least developed countries"	941	948221	1072179	1208777	1353990	1509127	1675799	1854171	2043024	2240332	2444937	2656499	2874766	3098789	3327235	3558736	3792617	4028537	4265929
"Less developed regions, excluding least developed countries"	934	5173983	5520198	5857376	6168978	6467710	6764713	7061942	7355162	7641406	7922136	8203043	8489807	8785540	9091477	9409804	9739585	10076462	10415771
"Less developed regions, excluding China"	948	4675265	5093191	5528139	5959723	6395604	6844800	7309343	7784548	8264296	8746423	9233045	9727798	10232704	10746757	11268439	11796504	12329896	12866905
"Sub-Saharan Africa"	947	956791	1099157	1258659	1433593	1626451	1839246	2071880	2322321	2587726	2866881	3159539	3464921	3781105	4105101	4434453	4767418	5102977	5439629
"AFRICA"	903	1175951	1339364	1519830	1714697	1927216	2160201	2413824	2685586	2971979	3271448	3583955	3909194	4245630	4590319	4940620	5294469	5650577	6007405
"Eastern Africa"	910	397992	460341	529441	604558	686613	776392	873814	978075	1087794	1202532	1322240	1446595	1574857	1706068	1839434	1974650	2111409	2249368
"Burundi"	108	10895	12816	14882	17095	19611	22552	25909	29563	33391	37435	41793	46484	51439	56547	61744	67040	72448	77933
"Comoros"	174	776	877	987	1108	1241	1384	1535	1694	1862	2040	2227	2423	2625	2831	3042	3256	3472	3689
"Djibouti"	262	908	987	1064	1135	1203	1275	1351	1425	1494	1557	1619	1683	1748	1813	1877	1941	2004	2068
"Eritrea"	232	6796	7893	9055	10278	11605	13049	14578	16144	17714	19290	20891	22516	24148	25766	27356	28921	30456	31957
"Ethiopia"	231	99736	113837	129091	144831	161007	177616	194511	211518	228451	245154	261463	277176	292191	306470	320039	332948	345259	357047
"Kenya"	404	47158	54057	61593	69763	78707	88469	98985	110166	121809	133910	146445	159343	172499	185802	199142	212450	225690	238789
"Madagascar"	450	24445	28405	32930	37884	43286	49221	55741	62836	70398	78372	86779	95617	104852	114399	124185	134189	144383	154727
"Malawi"	454	17443	20283	23540	27186	31244	35742	40703	46123	51976	58228	64876	71914	79314	87042	95077	103361	111836	120480
"Mauritius"	480	1265	1302	1337	1364	1383	1398	1410	1423	1437	1452	1470	1488	1509	1532	1559	1590	1624	1662
"Mayotte"	175	236	270	308	349	393	438	483	528	573	619	665	710	756	801	845	888	930	970
"Mozambique"	508	27339	31168	35662	40794	46555	52909	59885	67503	75691	84325	93330	102666	112291	122123	132087	142128	152167	162165
"Reunion"	638	903	963	1021	1077	1130	1182	1232	1281	1328	1375	1422	1471	1521	1572	1622	1674	1728	1783
"Rwanda"	646	12534	14428	16507	18695	20989	23425	25991	28642	31312	33961	36584	39182	41740	44241	46662	48991	51242	53422
"Seychelles"	690	95	98	101	104	107	110	112	115	118	120	122	125	128	132	135	139	143	147
"Somalia"	706	11200	13045	15189	17595	20264	23213	26460	30005	33812	37848	42094	46545	51175	55938	60778	65667	70583	75524
"South Sudan"	728	12244	14122	16100	18126	20279	22592	25091	27759	30535	33377	36270	39209	42192	45183	48156	51089	53973	56814
"Uganda"	800	40458	48014	56677	66362	77140	89114	102285	116500	131588	147479	164130	181486	199371	217598	236045	254633	273285	291943
"United Republic of Tanzania"	834	52720	61615	71733	83202	96263	111033	127444	145430	164835	185697	208039	231790	256819	282997	310084	337978	366543	395662
"Zambia"	894	15644	18611	22096	26090	30694	36038	42196	49178	56951	65578	75159	85784	97463	110170	123898	138699	154606	171593
"Zimbabwe"	716	15196	17551	19566	21521	23510	25633	27910	30244	32518	34714	36860	38983	41075	43113	45100	47068	49036	50992
