"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	62.03	66.38	69.44	72.15	74.55	76.65	78.45	79.96	81.28	82.51	83.53	84.49	85.38	86.24	87.00	87.76	88.44	89.12
"Albania"	8	81.90	83.23	84.38	85.44	86.45	87.42	88.34	89.22	90.06	90.92	91.75	92.56	93.33	94.10	94.86	95.63	96.37	97.11
"Algeria"	12	74.52	76.03	77.33	78.48	79.51	80.48	81.37	82.24	83.05	83.84	84.61	85.33	86.07	86.76	87.45	88.15	88.82	89.47
"Antigua and Barbuda"	28	79.75	81.24	82.57	83.83	85.00	86.10	87.18	88.19	89.17	90.11	91.04	91.89	92.74	93.55	94.37	95.15	95.94	96.69
"Argentina"	32	81.28	82.69	83.96	85.17	86.31	87.45	88.54	89.57	90.59	91.55	92.49	93.40	94.27	95.10	95.91	96.73	97.50	98.25
"Armenia"	51	79.36	80.53	81.55	82.49	83.38	84.23	85.03	85.82	86.60	87.34	88.08	88.83	89.57	90.30	91.01	91.73	92.44	93.14
"Aruba"	533	79.25	80.45	81.51	82.44	83.33	84.16	84.93	85.71	86.49	87.20	87.92	88.66	89.36	90.05	90.74	91.42	92.11	92.78
"Australia"	36	85.84	87.16	88.39	89.54	90.66	91.74	92.75	93.74	94.69	95.60	96.46	97.31	98.16	98.96	99.74	100.51	101.24	102.00
"Austria"	40	84.73	86.00	87.15	88.24	89.27	90.27	91.22	92.14	93.02	93.89	94.73	95.55	96.37	97.17	97.96	98.73	99.48	100.25
"Azerbaijan"	31	75.47	76.78	77.94	78.98	79.97	80.91	81.80	82.68	83.53	84.31	85.10	85.86	86.60	87.36	88.09	88.83	89.56	90.28
"Bahrain"	48	78.95	80.25	81.37	82.37	83.31	84.17	85.00	85.79	86.58	87.35	88.10	88.85	89.56	90.29	91.01	91.74	92.42	93.10
"Bangladesh"	50	73.40	76.62	79.60	82.41	85.04	87.44	89.65	91.63	93.41	94.94	96.26	97.53	98.64	99.66	100.62	101.49	102.35	103.10
"Barbados"	52	79.24	80.74	82.08	83.32	84.50	85.60	86.65	87.66	88.63	89.55	90.46	91.33	92.17	92.99	93.82	94.60	95.36	96.12
"Belarus"	112	77.31	78.40	79.33	80.16	80.93	81.71	82.41	83.11	83.77	84.43	85.09	85.73	86.38	87.03	87.67	88.31	88.95	89.60
"Belgium"	56	84.22	85.50	86.67	87.77	88.83	89.84	90.80	91.72	92.61	93.50	94.37	95.18	95.97	96.77	97.56	98.32	99.07	99.81
"Bhutan"	64	70.55	73.80	76.63	79.15	81.37	83.33	85.02	86.53	87.91	89.13	90.25	91.24	92.23	93.13	93.99	94.80	95.55	96.34
"Bolivia (Plurinational State of)"	68	71.52	74.26	76.71	78.94	80.97	82.76	84.38	85.76	86.94	88.04	89.00	89.88	90.69	91.47	92.15	92.83	93.47	94.11
"Bosnia and Herzegovina"	70	80.27	81.55	82.66	83.68	84.60	85.46	86.31	87.14	87.93	88.70	89.48	90.21	90.96	91.69	92.41	93.14	93.84	94.56
"Brazil"	76	79.26	81.51	83.60	85.60	87.48	89.26	90.87	92.36	93.76	95.00	96.16	97.24	98.27	99.27	100.17	101.05	101.89	102.67
"Brunei Darussalam"	96	81.81	83.27	84.54	85.71	86.82	87.87	88.88	89.85	90.78	91.67	92.57	93.41	94.22	95.06	95.87	96.60	97.36	98.10
"Bulgaria"	100	78.69	79.79	80.72	81.57	82.37	83.12	83.86	84.59	85.30	85.99	86.68	87.36	88.04	88.72	89.40	90.05	90.73	91.39
"Cambodia"	116	76.17	78.98	81.45	83.66	85.57	87.25	88.71	89.99	91.10	92.05	92.96	93.74	94.51	95.17	95.81	96.43	97.04	97.64
"Canada"	124	84.70	85.87	86.92	87.91	88.85	89.77	90.65	91.49	92.31	93.14	93.90	94.69	95.44	96.20	96.92	97.65	98.38	99.08
"Cape Verde"	132	80.65	83.37	85.80	87.95	89.80	91.36	92.66	93.82	94.81	95.68	96.47	97.23	97.92	98.57	99.18	99.77	100.35	100.89
"Channel Islands"	830	83.48	84.58	85.56	86.49	87.38	88.24	89.10	89.93	90.73	91.51	92.30	93.08	93.82	94.57	95.33	96.09	96.80	97.52
"Chile"	152	83.98	85.63	87.07	88.43	89.66	90.85	91.97	92.99	94.01	94.95	95.89	96.79	97.62	98.46	99.28	100.05	100.83	101.58
"China"	156	78.28	79.86	81.25	82.51	83.70	84.81	85.84	86.84	87.76	88.69	89.54	90.37	91.24	92.05	92.82	93.59	94.33	95.06
"China, Hong Kong SAR"	344	87.52	88.97	90.27	91.50	92.64	93.74	94.75	95.75	96.69	97.60	98.49	99.37	100.23	101.03	101.81	102.58	103.39	104.13
"China, Macao SAR"	446	83.82	85.25	86.52	87.75	88.90	89.97	91.01	91.98	92.94	93.87	94.75	95.59	96.44	97.24	98.04	98.82	99.61	100.31
"Colombia"	170	79.23	80.86	82.26	83.56	84.75	85.85	86.92	87.93	88.87	89.84	90.74	91.61	92.48	93.31	94.11	94.88	95.68	96.40
"Comoros"	174	64.50	66.93	69.29	71.63	73.89	76.18	78.40	80.52	82.53	84.40	86.25	87.94	89.52	90.97	92.33	93.53	94.71	95.78
"Costa Rica"	188	83.43	84.79	86.01	87.11	88.14	89.14	90.09	90.99	91.88	92.72	93.57	94.37	95.14	95.90	96.67	97.42	98.18	98.89
"Croatia"	191	81.66	82.94	84.05	85.07	86.05	86.98	87.89	88.74	89.60	90.42	91.23	92.03	92.78	93.55	94.32	95.07	95.79	96.49
"Cuba"	192	82.51	83.80	84.91	85.94	86.93	87.87	88.77	89.67	90.48	91.30	92.11	92.89	93.64	94.41	95.16	95.89	96.62	97.35
"Curacao"	531	81.51	82.76	83.85	84.83	85.76	86.66	87.50	88.35	89.16	89.94	90.74	91.48	92.25	92.98	93.71	94.41	95.14	95.85
"Cyprus"	196	83.07	84.22	85.27	86.24	87.17	88.08	88.97	89.80	90.65	91.44	92.23	93.02	93.76	94.52	95.26	95.98	96.72	97.43
"Czech Republic"	203	81.97	83.13	84.15	85.10	86.00	86.89	87.72	88.55	89.35	90.16	90.94	91.72	92.46	93.23	93.97	94.70	95.43	96.16
"Dem. People's Republic of Korea"	408	75.12	77.10	78.77	80.22	81.54	82.73	83.84	84.89	85.86	86.81	87.71	88.58	89.43	90.25	91.05	91.88	92.67	93.44
"Democratic Republic of the Congo"	180	52.40	55.32	58.14	61.11	64.23	67.48	70.76	74.21	77.59	80.91	84.18	87.35	90.36	93.15	95.87	98.42	100.72	102.76
"Denmark"	208	82.71	83.88	84.89	85.83	86.73	87.63	88.48	89.33	90.13	90.92	91.70	92.48	93.25	94.00	94.75	95.48	96.21	96.92
"Dominican Republic"	214	78.27	80.05	81.60	82.98	84.25	85.43	86.53	87.57	88.60	89.57	90.51	91.44	92.31	93.16	93.96	94.76	95.54	96.34
"Ecuador"	218	80.99	82.92	84.58	86.00	87.31	88.48	89.57	90.55	91.49	92.39	93.20	93.99	94.75	95.49	96.19	96.91	97.58	98.24
"Egypt"	818	75.38	77.27	78.93	80.39	81.74	82.98	84.14	85.20	86.23	87.23	88.15	89.05	89.94	90.81	91.65	92.43	93.23	94.00
