"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	" 70"	0.11462766	0.10653609	0.09939874	0.09308684	0.08765103	0.08306964	0.07841879	0.07208251	0.06640973	0.06287207	0.06061274	0.05772216	0.05503889	0.052997441	0.051293239	0.049862446	0.048551501	0.047340664	0.046200502	0.044873819	0.043488066	0.042184405	0.04066034	0.038997704	0.037467785	0.035947215	0.03434073	0.032743571	0.031188806	0.029779404
"Afghanistan"	4	" 75"	0.16733083	0.15621847	0.14655057	0.13809904	0.1308902	0.1248618	0.11878688	0.11056976	0.10327564	0.09881753	0.09598571	0.09235206	0.08897105	0.086396853	0.084241522	0.082430584	0.080763777	0.079220048	0.07775789	0.075969672	0.074072262	0.072276537	0.070052015	0.067532673	0.065202769	0.062875502	0.060344708	0.057787858	0.055287958	0.053011983
"Afghanistan"	4	" 80"	0.24097524	0.22630556	0.21367042	0.20273743	0.19350571	0.18586009	0.17823697	0.16806398	0.1592492	0.15406437	0.15081749	0.14666324	0.14282265	0.139929882	0.137516267	0.135501979	0.133638388	0.131906395	0.130255807	0.128034752	0.125619778	0.123320106	0.120218146	0.116526737	0.113094661	0.109648235	0.105757179	0.101747623	0.097808932	0.094206407
"Afghanistan"	4	" 85"	0.33128044	0.31336589	0.29805631	0.2849297	0.27395972	0.26497395	0.25612954	0.24454072	0.23483007	0.22945252	0.22618045	0.22204255	0.21828868	0.215546147	0.213279755	0.211427857	0.209711945	0.208121208	0.206597125	0.204183515	0.201470142	0.198871858	0.194927686	0.189946754	0.185291634	0.180592814	0.175056991	0.169229351	0.16347691	0.158190245
"Afghanistan"	4	" 90"	0.43344026	0.41320697	0.39607684	0.38153427	0.36951261	0.35978217	0.35034568	0.33824913	0.32854242	0.32361101	0.32075638	0.31723576	0.3141723	0.31171258	0.310034003	0.308735497	0.30753892	0.306445561	0.305393837	0.303124292	0.300453223	0.297884017	0.293350587	0.287253446	0.281527821	0.275720866	0.268577662	0.260899608	0.253283373	0.246249901
"Afghanistan"	4	" 95"	0.521664225	0.503099765	0.485871358	0.471626464	0.461070324	0.451068225	0.442013256	0.431220093	0.422371562	0.418765986	0.416897188	0.414741886	0.42313729	0.42766763	0.426885783	0.426404119	0.425978422	0.4256225	0.425279213	0.423468013	0.421185947	0.41898344	0.41426264	0.407488012	0.401097987	0.394588594	0.386222404	0.37704488	0.367895543	0.359404453
"Afghanistan"	4	"100"	0.628699985	0.611769572	0.595676793	0.582647325	0.573617386	0.564561117	0.556791852	0.548258334	0.541685766	0.540041106	0.539569979	0.539327685	0.56501325	0.561895182	0.562655878	0.563543256	0.564408853	0.565280272	0.566122497	0.565452291	0.564322188	0.563227933	0.55943209	0.5533814	0.547649971	0.541786924	0.533803791	0.524829885	0.515840355	0.507458257
"Albania"	8	"  0"	0.148418449	0.125857468	0.097705296	0.075161657	0.055891842	0.047838484	0.042598903	0.035855108	0.028863495	0.024870889	0.020362453	0.015833226	0.013840023	0.012005528	0.010453629	0.009158089	0.008045787	0.007097995	0.006281412	0.005640983	0.005071912	0.004569717	0.004130161	0.003740444	0.003383825	0.003065708	0.002780248	0.002542301	0.002331164	0.002131903
"Albania"	8	"  1"	0.0142549	0.01151159	0.008173323	0.005637906	0.003658368	0.002893909	0.002417936	0.001836441	0.001591304	0.001077118	0.000764003	0.000288469	0.000254061	0.000228579	0.000206388	0.000187402	0.000170547	0.000155779	0.000142675	0.000132439	0.000123045	0.000114515	0.000106869	9.99001E-05	9.32636E-05	8.71667E-05	8.15228E-05	7.68094E-05	7.25426E-05	6.8318E-05
"Albania"	8	"  5"	0.00339228	0.002501397	0.00143401	0.001286123	0.001026291	0.00084097	0.000674261	0.000520164	0.000557967	0.000416101	0.000438584	0.000223528	0.000198517	0.000176317	0.000157031	0.000140517	0.000125945	0.000113217	0.000101984	9.29655E-05	8.47729E-05	7.73897E-05	7.07982E-05	6.48384E-05	5.92736E-05	5.42158E-05	4.95938E-05	4.56484E-05	4.20921E-05	3.86825E-05
"Albania"	8	" 10"	0.001545428	0.001094457	0.000541091	0.000639546	0.000586466	0.00048653	0.000372586	0.00027801	0.000330425	0.000250418	0.000188859	0.000131943	0.000118252	0.000106865	9.67631E-05	8.795E-05	8.00138E-05	7.29522E-05	6.66025E-05	6.14404E-05	5.66639E-05	5.22846E-05	4.83123E-05	4.4662E-05	4.11919E-05	3.79881E-05	3.50146E-05	3.24361E-05	3.00813E-05	2.77885E-05
"Albania"	8	" 15"	0.002387262	0.001805409	0.001073138	0.001064399	0.00090259	0.000735176	0.000564479	0.000418707	0.00046283	0.00040163	0.000283234	0.000223614	0.000202257	0.000184201	0.000167953	0.00015358	0.000140466	0.000128652	0.000117904	0.000109028	0.000100733	9.30557E-05	8.60254E-05	7.95111E-05	7.32817E-05	6.74909E-05	6.20848E-05	5.73339E-05	5.29696E-05	4.87192E-05
"Albania"	8	" 20"	0.003305208	0.002516585	0.001529173	0.001542451	0.001334363	0.001096224	0.000852368	0.000644782	0.000713308	0.000623386	0.000432624	0.000369035	0.000336741	0.000307893	0.000281688	0.000258277	0.000236745	0.00021719	0.000199276	0.00018429	0.000170219	0.000157129	0.00014508	0.00013387	0.000123142	0.000113143	0.000103792	9.55098E-05	8.78828E-05	8.04827E-05
"Albania"	8	" 25"	0.003824932	0.002929367	0.001797645	0.001818498	0.001582736	0.001311656	0.001025303	0.000772815	0.000853885	0.000751253	0.000521395	0.000465994	0.000428871	0.000394926	0.000363677	0.0003354	0.000309096	0.000284939	0.000262578	0.000243662	0.000225743	0.000208928	0.000193314	0.000178679	0.000164592	0.000151378	0.00013895	0.000127848	0.000117568	0.000107575
"Albania"	8	" 30"	0.004259691	0.003273137	0.00201172	0.002033362	0.001771238	0.001473376	0.001148734	0.000846651	0.000934238	0.00081884	0.000584336	0.000531499	0.000493192	0.000458727	0.000426437	0.000396746	0.000368696	0.000342551	0.000318002	0.000297018	0.000276868	0.000257713	0.000239707	0.000222632	0.000206017	0.000190267	0.000175307	0.000161805	0.000149188	0.000136832
"Albania"	8	" 35"	0.004781009	0.003730122	0.002355785	0.002402225	0.002138528	0.001801705	0.001420916	0.001052898	0.001159355	0.001032372	0.000740746	0.000691414	0.000646074	0.000605408	0.000566711	0.000530619	0.000496075	0.000463468	0.000432485	0.000405709	0.000379718	0.000354757	0.000331063	0.000308392	0.000286158	0.000264916	0.000244595	0.00022609	0.000208684	0.000191566
"Albania"	8	" 40"	0.005489643	0.004405244	0.002942518	0.003055977	0.002816913	0.002432969	0.001975937	0.00152215	0.001668906	0.001508659	0.001087403	0.001036531	0.000973013	0.000914832	0.000858938	0.000806345	0.000755662	0.000707482	0.000661409	0.000621135	0.000581869	0.000543994	0.000507888	0.00047322	0.000439145	0.000406503	0.000375209	0.000346531	0.000319515	0.000292959
"Albania"	8	" 45"	0.00661609	0.005444137	0.003816371	0.004025353	0.003808754	0.003352316	0.002781434	0.002203038	0.002405934	0.00224075	0.00161755	0.001604314	0.001508293	0.001421256	0.0013372	0.001257765	0.00118093	0.001107611	0.001037243	0.000975054	0.000914292	0.000855568	0.000799487	0.000745541	0.000692424	0.000641457	0.000592518	0.000547388	0.000504859	0.000463033
"Albania"	8	" 50"	0.008430473	0.007010026	0.005001528	0.005305642	0.005069355	0.004482553	0.003727848	0.002956505	0.003219737	0.003097569	0.002268522	0.002384088	0.002237861	0.00210771	0.001982255	0.001863963	0.001749767	0.001640987	0.001536734	0.001443636	0.001352941	0.001265536	0.001182294	0.001102404	0.001023847	0.000948599	0.000876444	0.000809577	0.000746746	0.00068503
"Albania"	8	" 55"	0.01156978	0.009687813	0.006999157	0.007453484	0.007170651	0.006370075	0.005321981	0.004244223	0.00461277	0.004416477	0.003332088	0.003643875	0.003406474	0.003198805	0.003000188	0.002814336	0.002636147	0.002467501	0.002306812	0.002161997	0.002021942	0.001887904	0.001761108	0.001640131	0.0015217	0.001408807	0.00130101	0.001200763	0.001107123	0.001015439
"Albania"	8	" 60"	0.017785097	0.015151241	0.01131778	0.012169308	0.011902867	0.010755738	0.009189449	0.007574374	0.008217677	0.007869255	0.005874603	0.006440263	0.005989021	0.005581156	0.005196475	0.004841035	0.004504686	0.004190155	0.00389395	0.003625394	0.003369201	0.003127159	0.002900962	0.002687652	0.002481197	0.002286488	0.002102445	0.001931465	0.001773504	0.00162038
"Albania"	8	" 65"	0.029384121	0.02563513	0.020020523	0.021731954	0.02165736	0.019977693	0.017542442	0.015016433	0.016239436	0.014888729	0.01169176	0.011898706	0.01101405	0.010218098	0.009477587	0.00880208	0.008170417	0.007586203	0.007041526	0.006545523	0.006077331	0.005639365	0.005233886	0.004854599	0.004489682	0.004147629	0.003825926	0.003526155	0.003250934	0.002984656
"Albania"	8	" 70"	0.047941407	0.042821411	0.034922647	0.038384387	0.039044741	0.036788157	0.033202216	0.02951227	0.031877565	0.028666055	0.023217862	0.022284551	0.020584522	0.019051663	0.017637929	0.016358753	0.015171855	0.014081892	0.013072293	0.012146481	0.011279031	0.0104732	0.009732045	0.009042746	0.008382382	0.007766085	0.007188501	0.00664772	0.006153665	0.00567642
"Albania"	8	" 75"	0.076917673	0.07017848	0.059409213	0.06633534	0.068921369	0.06622885	0.061251117	0.056294226	0.060916704	0.055464358	0.044421364	0.041455005	0.038356343	0.035543443	0.032954907	0.030617391	0.028452821	0.026468246	0.024632502	0.022930282	0.02133951	0.019865171	0.018512066	0.017255812	0.016053367	0.01493216	0.013881825	0.012890681	0.011986784	0.011113415
"Albania"	8	" 80"	0.120798681	0.112574396	0.098938104	0.111777025	0.118237042	0.115757292	0.109661605	0.104099729	0.112549084	0.1039272	0.082902137	0.075515928	0.070277765	0.065494286	0.061070333	0.057056196	0.05332212	0.049882649	0.046686358	0.04367273	0.040847634	0.038220941	0.035802507	0.033549735	0.031385508	0.02935999	0.027455086	0.025635799	0.023972324	0.022359402
"Albania"	8	" 85"	0.184024325	0.175029064	0.159533339	0.181285719	0.194232221	0.193299655	0.187253747	0.183014182	0.19695468	0.184727714	0.14836758	0.132826269	0.124775954	0.117263028	0.110240223	0.103800993	0.097753163	0.092128548	0.086852925	0.081772254	0.076974468	0.072480424	0.068311515	0.064400227	0.060618046	0.057052946	0.053676582	0.050404705	0.047393856	0.044459614
"Albania"	8	" 90"	0.269254865	0.260888767	0.245874426	0.27896444	0.300707468	0.303089973	0.299178238	0.299289125	0.319335741	0.304377048	0.249272142	0.221513287	0.210525929	0.199817627	0.189652508	0.180187921	0.171174726	0.162675224	0.154597737	0.146623702	0.139012558	0.13180505	0.125043861	0.118634129	0.112381738	0.106429087	0.100737342	0.095132833	0.089924695	0.084816812
"Albania"	8	" 95"	0.375044741	0.369109648	0.357852296	0.402329282	0.433201339	0.440183711	0.440539281	0.447588111	0.472040634	0.45679851	0.385635463	0.343976031	0.331033271	0.317656482	0.304696665	0.292382485	0.280438659	0.268968817	0.257880193	0.246612885	0.235704391	0.225224247	0.215246965	0.205657844	0.196197062	0.187071993	0.178238014	0.169383961	0.161048045	0.152803232
"Albania"	8	"100"	0.50184192	0.500082342	0.495967728	0.546158718	0.582042677	0.593017563	0.598262444	0.61183647	0.635873881	0.623805188	0.549741161	0.499892357	0.465810581	0.447382022	0.434097798	0.422764359	0.41208991	0.401852601	0.391864933	0.381379289	0.37114811	0.36120854	0.351626989	0.342280542	0.332902159	0.323719244	0.3146828	0.305387489	0.296523502	0.287600927
"Algeria"	12	"  0"	0.174093082	0.163021012	0.150607526	0.138469796	0.126934248	0.108656251	0.074967582	0.054413394	0.045761104	0.038751964	0.032677438	0.027783998	0.02461321	0.021900138	0.019603885	0.017649559	0.016019331	0.014697252	0.013528465	0.012518603	0.011656222	0.01091809	0.010349413	0.009867965	0.009471488	0.009142351	0.008940621	0.00878437	0.008660595	0.00857077
"Algeria"	12	"  1"	0.038922828	0.033566906	0.028562672	0.024297878	0.020543023	0.015523763	0.007887491	0.004455827	0.003333505	0.002542106	0.001968751	0.001559668	0.001380374	0.001220446	0.001082738	0.000963715	0.000874092	0.00080174	0.000736576	0.000679024	0.000628638	0.000585814	0.00055279	0.000524256	0.000500032	0.000479234	0.000463322	0.000449151	0.000436829	0.000426356
"Algeria"	12	"  5"	0.00659885	0.005803434	0.005040806	0.004390238	0.003834807	0.002992714	0.001582173	0.000994934	0.000818564	0.000692948	0.000594168	0.000521463	0.000461381	0.000410747	0.000367457	0.000330263	0.000306197	0.000286174	0.000267573	0.000250674	0.000235479	0.000222074	0.000211347	0.000201746	0.000193275	0.000185663	0.000179205	0.000173298	0.000167958	0.000163194
"Algeria"	12	" 10"	0.003737023	0.003411746	0.003075128	0.002774777	0.002497956	0.002033004	0.001156724	0.00075312	0.000632169	0.000543767	0.000472929	0.000420032	0.000371756	0.000331263	0.000296638	0.000266883	0.000250211	0.000235932	0.00022224	0.000209407	0.000197508	0.000186674	0.000177638	0.00016925	0.000161541	0.000154315	0.000147594	0.000141294	0.000135429	0.000130005
"Algeria"	12	" 15"	0.00532219	0.004845471	0.004361994	0.003938279	0.003580394	0.002945797	0.001741294	0.001153724	0.000984588	0.000859125	0.000757129	0.000680962	0.00060332	0.000538572	0.000483226	0.000435681	0.000412567	0.000392287	0.000372265	0.000352974	0.000334607	0.000317366	0.000302446	0.000288197	0.000274711	0.000261712	0.000248908	0.000236614	0.000224988	0.000214052
"Algeria"	12	" 20"	0.006703011	0.006131118	0.005545601	0.005030274	0.004610574	0.003829019	0.002324611	0.001588775	0.001370297	0.001206753	0.001067325	0.000961035	0.000853675	0.000763825	0.000686828	0.000620525	0.000591051	0.000564672	0.000538058	0.000511884	0.000486476	0.000462211	0.000440767	0.000419938	0.000399887	0.00038027	0.000360488	0.000341303	0.000323014	0.000305666
"Algeria"	12	" 25"	0.007364241	0.00677349	0.006160933	0.005616859	0.005177152	0.004342178	0.00270055	0.001865712	0.001622017	0.00143944	0.001284851	0.001167268	0.00104308	0.000938644	0.000848466	0.00077025	0.000736004	0.000704694	0.000672647	0.00064071	0.00060933	0.000578937	0.00055161	0.000524781	0.00049869	0.000472945	0.000447045	0.000421894	0.000397726	0.000374628
"Algeria"	12	" 30"	0.007646436	0.007111847	0.006537954	0.006019435	0.005591008	0.004745049	0.003027708	0.002184736	0.001922948	0.001725323	0.001557149	0.001429155	0.00129001	0.001171584	0.001067779	0.000976454	0.00093342	0.000893478	0.000852445	0.000811402	0.000770937	0.000731455	0.000695569	0.000660224	0.000625749	0.000591671	0.000557921	0.000525125	0.000493385	0.000462854
"Algeria"	12	" 35"	0.008299882	0.007778305	0.007208191	0.006686715	0.00624923	0.005384908	0.003581472	0.00265119	0.002380349	0.002179458	0.002002769	0.001868576	0.001708706	0.001570863	0.001447593	0.001337061	0.001277682	0.001221959	0.001164873	0.001107899	0.001051831	0.000996793	0.000946316	0.000896595	0.000848099	0.000800187	0.000753595	0.000708236	0.000664037	0.000621267
"Algeria"	12	" 40"	0.00889502	0.008449483	0.007941108	0.007465674	0.007056337	0.006229447	0.004431117	0.003457042	0.003172828	0.00296199	0.002767225	0.002617624	0.002426754	0.002259566	0.002106825	0.001967062	0.001878652	0.001795035	0.001709972	0.001625579	0.001542957	0.001461257	0.001385546	0.001311054	0.001238484	0.001166881	0.001098297	0.001031435	0.000965954	0.000902312
"Algeria"	12	" 45"	0.009892266	0.009497963	0.009035456	0.008601025	0.008229679	0.00744663	0.005662602	0.004677066	0.00441208	0.004225521	0.004044855	0.003912999	0.00367294	0.00346213	0.003265879	0.003083044	0.002946615	0.002816947	0.002686024	0.002557006	0.002431448	0.002305879	0.00218798	0.002071943	0.00195888	0.001847251	0.001741019	0.00163702	0.001534695	0.001434832
"Algeria"	12	" 50"	0.013231217	0.012762397	0.012203496	0.011673516	0.011223082	0.01026433	0.008065501	0.006840986	0.006516006	0.006292853	0.006063608	0.00589558	0.005588908	0.005314802	0.005053666	0.004805075	0.00458569	0.004377191	0.004168287	0.003963793	0.00376597	0.003567946	0.003381446	0.003198482	0.003020743	0.002845779	0.002679922	0.002518193	0.002359449	0.002204866
"Algeria"	12	" 55"	0.01845367	0.017762995	0.016968817	0.016231099	0.015616869	0.014365238	0.011531719	0.009973023	0.009593017	0.009353896	0.009105933	0.008943184	0.008539117	0.008176798	0.00782579	0.007486379	0.007143228	0.006817603	0.006493504	0.006178163	0.005874793	0.005569788	0.005280967	0.004998017	0.004723515	0.004453536	0.00419653	0.003946465	0.003701746	0.003464046
"Algeria"	12	" 60"	0.0301935	0.028848033	0.027366983	0.026008464	0.024873574	0.022793281	0.018396327	0.015976905	0.015370051	0.01499084	0.01459394	0.014330317	0.013751686	0.013225305	0.012706877	0.012198017	0.011626053	0.011083471	0.010545747	0.010024536	0.009524849	0.0090227	0.008546871	0.008081743	0.007631441	0.007189481	0.006766925	0.006359438	0.005963322	0.005580877
"Algeria"	12	" 65"	0.048062497	0.045706241	0.043225395	0.040992755	0.039155104	0.036076466	0.02990777	0.02649963	0.025640424	0.025124417	0.024583985	0.024245843	0.023355546	0.022549367	0.021756193	0.020977967	0.020031302	0.019138922	0.018261763	0.017418173	0.016615328	0.015807474	0.01504124	0.014293595	0.01357086	0.01286149	0.012177965	0.011522487	0.010887587	0.010276198
"Algeria"	12	" 70"	0.080177848	0.076147985	0.071999278	0.068279514	0.065197341	0.060422028	0.051321482	0.046160403	0.044710595	0.043778767	0.042777523	0.042076589	0.040676042	0.039395177	0.038133063	0.036892647	0.035286046	0.033776052	0.032299234	0.030885585	0.02954616	0.028199399	0.026922831	0.025679196	0.024478565	0.023300629	0.022158524	0.021072706	0.020026363	0.019023251
"Algeria"	12	" 75"	0.130770723	0.124318695	0.117789571	0.111937223	0.107033944	0.099966417	0.087301477	0.079827122	0.077431307	0.07576752	0.073941111	0.072537727	0.070405066	0.068428739	0.066476069	0.064551687	0.061914761	0.059432346	0.057008357	0.05469127	0.052498604	0.050286607	0.048181555	0.046128245	0.044143111	0.042191776	0.040285068	0.038480778	0.036746331	0.035087088
"Algeria"	12	" 80"	0.210907793	0.200797662	0.190737727	0.181725412	0.17410946	0.163988521	0.14729241	0.137101713	0.133330203	0.130536211	0.127394641	0.124804198	0.121696603	0.118747216	0.115819166	0.112920234	0.108734214	0.104764551	0.100879983	0.097157699	0.093626261	0.090033463	0.086579655	0.083194241	0.079904656	0.076654798	0.073449352	0.070411076	0.067483855	0.0646768
"Algeria"	12	" 85"	0.313676703	0.299977347	0.286443716	0.274248237	0.263804922	0.250851234	0.231301168	0.218854682	0.213475075	0.209241086	0.204354975	0.20009904	0.196094162	0.192311833	0.188517558	0.184724619	0.178891094	0.173282217	0.167751254	0.162411038	0.157306374	0.15202932	0.146868646	0.141758015	0.136740931	0.131734405	0.126732644	0.121945726	0.117293391	0.112792829
"Algeria"	12	" 90"	0.438159598	0.421467165	0.405064656	0.390181865	0.377261551	0.36233299	0.342304765	0.328993741	0.322136392	0.316427123	0.309675961	0.303519043	0.298934537	0.294318618	0.289624268	0.284873424	0.277290313	0.269860796	0.262458386	0.255231541	0.248243815	0.240891257	0.233546744	0.226184775	0.218868005	0.211485429	0.204012275	0.196747537	0.189602716	0.182608332
"Algeria"	12	" 95"	0.57170221	0.553619674	0.535929209	0.519763349	0.505537996	0.490285964	0.472897025	0.460831572	0.453186589	0.44648221	0.43836455	0.430660203	0.426163063	0.421203317	0.416055341	0.410751931	0.402020097	0.393250503	0.384385238	0.375596412	0.36696392	0.357667474	0.348128644	0.338417946	0.328616018	0.318588378	0.308266777	0.298013866	0.287778485	0.277610885
"Algeria"	12	"100"	0.699453072	0.681414376	0.664123276	0.648446422	0.634681627	0.621379024	0.609768933	0.601570957	0.594732504	0.588498651	0.580731969	0.573124635	0.544713479	0.535322495	0.531040698	0.528084159	0.522213228	0.516285846	0.510215024	0.504123346	0.498066725	0.491168303	0.483772136	0.476008465	0.467940543	0.459419167	0.450302188	0.440962935	0.43137985	0.421598857
"Angola"	24	"  0"	0.246986365	0.22754966	0.209628313	0.193079852	0.177774605	0.164255116	0.16073461	0.152648932	0.14971788	0.13885497	0.115414054	0.102814454	0.094273319	0.085346928	0.076697895	0.068430945	0.060624974	0.053430389	0.046927449	0.041128758	0.036077256	0.031751359	0.028109261	0.025235769	0.022893461	0.020921768	0.019400302	0.018078371	0.016893014	0.015905193
"Angola"	24	"  1"	0.052470556	0.048230916	0.044278449	0.040607693	0.037580276	0.034421763	0.033355395	0.031636107	0.030895266	0.02838375	0.022347995	0.01874748	0.016549049	0.014359399	0.012318451	0.010442645	0.008753993	0.007249	0.005904748	0.004715201	0.003704411	0.002913895	0.002314464	0.00194136	0.001699192	0.001508573	0.00139155	0.001300553	0.001216134	0.001152602
