"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Costa Rica"	188	4670	4928	5133	5277	5361	5399	5384	5310	5196	5043	4855	4626	4373	4098	3808	3519	3224	2932	2666
"El Salvador"	222	6218	6307	6355	6345	6295	6185	6026	5828	5577	5294	4999	4693	4359	4023	3683	3334	3016	2735	2495
"Guatemala"	320	14342	15925	17443	18847	20142	21309	22338	23273	23955	24495	24913	25164	25240	25110	24792	24279	23554	22970	22183
"Honduras"	340	7621	8256	8839	9378	9844	10253	10583	10821	10973	11045	11036	10949	10788	10557	10287	9931	9531	9124	8684
"Mexico"	484	117886	123212	127543	131076	133366	134406	134024	132356	130049	126436	121829	116510	110859	104535	97884	91279	84556	77926	71228
"Nicaragua"	558	5822	6131	6397	6605	6779	6897	6947	6932	6859	6721	6543	6319	6049	5734	5406	5064	4724	4377	4083
"Panama"	591	3678	3926	4161	4370	4548	4692	4792	4852	4885	4884	4850	4777	4681	4565	4429	4264	4092	3902	3707
"South America"	931	394021	410530	424699	436308	445060	450270	452630	452225	448510	442165	434039	422978	410814	396853	381914	366012	349408	333610	318973
"Argentina"	32	40374	41546	42517	43245	43698	43912	43839	43491	42843	41965	40781	39432	37879	36155	34366	32519	30575	28761	27044
"Bolivia (Plurinational State of)"	68	10157	10821	11441	11993	12482	12827	13063	13203	13232	13149	12980	12738	12366	11984	11527	11030	10518	10024	9595
"Brazil"	76	195210	200668	204549	206876	207354	206283	203454	198668	192754	185601	177746	168701	158492	148254	137481	127055	117058	107342	98380
"Chile"	152	17151	17680	18103	18388	18502	18434	18247	17938	17475	16910	16249	15516	14712	13879	12994	12127	11248	10429	9652
"Colombia"	170	46445	48739	50670	52174	53165	53761	53800	53354	52528	51425	49992	48298	46255	43961	41617	39164	36795	34292	31756
"Ecuador"	218	15001	15953	16828	17606	18259	18746	19101	19308	19354	19320	19123	18779	18262	17685	17021	16223	15428	14595	13799
"Falkland Islands (Malvinas)"	238	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2
"French Guiana"	254	231	258	285	311	338	362	385	404	421	432	440	445	446	446	441	435	424	412	399
"Guyana"	328	786	794	797	796	788	771	744	707	662	614	564	514	466	416	370	324	284	250	225
"Paraguay"	600	6460	6903	7311	7667	7975	8225	8386	8474	8524	8501	8418	8293	8100	7863	7617	7342	7033	6740	6411
"Peru"	604	29263	30659	31983	33058	33937	34483	34735	34725	34370	33809	33003	31982	30772	29429	27919	26314	24736	23074	21528
"Suriname"	740	525	540	551	558	562	559	550	535	517	499	481	460	436	412	388	364	338	314	291
"Uruguay"	858	3372	3383	3378	3366	3340	3296	3231	3140	3031	2917	2794	2657	2515	2374	2220	2069	1930	1787	1657
"Venezuela (Bolivarian Republic of)"	862	29043	30791	32321	33583	34561	35255	35614	35691	35491	35064	34361	33452	32394	31201	29795	28240	26662	24991	23321
"NORTHERN AMERICA"	905	346501	359823	372220	383602	393697	402524	409463	415599	420997	425378	429261	432504	434728	435277	434117	432169	429125	425266	419028
"Bermuda"	60	65	65	65	65	64	63	62	61	60	59	58	57	56	55	54	53	52	51	50
"Canada"	124	34126	35736	37262	38534	39603	40488	41192	41822	42338	42675	42929	42965	42933	42699	42313	41722	40949	40108	39118
"Greenland"	304	57	56	55	53	51	49	47	44	41	39	36	34	32	29	27	24	22	21	19
"Saint Pierre and Miquelon"	666	6	6	6	6	6	6	5	5	5	5	5	5	4	4	4	4	4	4	3
"United States of America"	840	312247	323822	334510	344422	353191	360787	366766	372028	376587	380247	383168	385819	387437	387489	386007	384288	380862	376501	371186
"OCEANIA"	909	36659	39068	41371	43523	45504	47327	48949	50434	51737	52806	53636	54216	54561	54656	54501	54177	53647	52808	51808
"Australia/New Zealand"	927	26773	28274	29650	30894	31983	32922	33765	34488	35089	35521	35755	35837	35851	35697	35510	35008	34396	33706	32828
"Australia"	36	22404	23676	24854	25887	26804	27600	28302	28923	29396	29723	29951	30059	30000	29801	29503	29095	28513	27825	27023
"New Zealand"	554	4368	4580	4747	4882	4984	5048	5091	5100	5087	5040	4977	4910	4818	4718	4586	4445	4274	4099	3908
"Melanesia"	928	8729	9489	10219	10898	11528	12069	12539	12902	13156	13311	13399	13375	13262	13035	12804	12456	12068	11650	11220
"Fiji"	242	861	878	885	882	870	852	824	789	747	703	659	615	571	529	490	455	424	396	373
"New Caledonia"	540	246	260	272	283	292	300	306	310	312	312	310	307	302	294	286	276	264	250	238
"Papua New Guinea"	598	6859	7492	8105	8674	9199	9638	10017	10320	10494	10600	10611	10522	10376	10128	9853	9488	9114	8695	8308
"Solomon Islands"	90	526	573	617	658	696	731	762	783	795	803	807	805	798	786	769	753	733	708	684
"Vanuatu"	548	236	259	281	302	322	340	357	370	381	390	395	397	396	393	387	377	368	355	343
"Micronesia"	954	498	515	539	560	579	594	604	609	609	607	603	596	588	577	564	550	535	517	502
"Guam"	316	159	168	175	182	187	191	193	193	192	190	187	184	179	174	168	161	154	146	137
"Kiribati"	296	98	104	109	115	119	123	124	126	126	125	124	122	119	116	112	108	103	98	94
"Marshall Islands"	584	52	52	53	52	52	52	52	51	49	46	44	42	41	39	37	35	33	30	28
"Micronesia (Fed. States of)"	583	104	103	105	108	109	110	109	107	103	99	95	90	85	79	73	67	62	58	54
"Nauru"	520	10	10	10	10	10	10	10	10	10	9	9	9	8	8	7	7	7	6	6
"Northern Mariana Islands"	580	54	54	55	54	53	52	50	47	44	41	37	33	30	27	24	22	19	17	15
"Palau"	585	20	21	22	23	23	23	23	23	23	23	22	22	21	20	19	18	17	17	16
"Polynesia"	957	660	678	697	713	727	739	747	749	745	744	745	745	743	739	732	722	710	696	682
"American Samoa"	16	56	55	55	56	56	55	53	51	48	45	42	39	36	33	30	27	23	21	19
"Cook Islands"	184	20	21	21	21	21	21	21	20	20	20	19	18	17	17	16	15	14	13	12
"French Polynesia"	258	268	278	287	293	296	296	294	290	284	276	267	256	245	232	218	205	192	179	167
"Niue"	570	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Samoa"	882	186	190	193	194	195	197	198	198	195	194	195	197	199	201	200	200	197	193	189
"Tokelau"	772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Tonga"	776	104	105	107	109	111	113	114	114	112	112	112	113	114	114	114	112	109	107	104
"Tuvalu"	798	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9
"Wallis and Futuna Islands"	876	14	13	13	13	12	12	12	11	11	11	10	10	9	9	8	8	7	7	6
