"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	59.49	64.02	67.06	69.69	71.99	74.02	75.85	77.54	79.16	80.75	82.13	83.26	84.24	85.10	85.93	86.67	87.39	88.06
"Albania"	8	76.29	78.23	79.85	81.12	82.18	83.19	84.08	84.97	85.81	86.62	87.44	88.26	89.04	89.79	90.56	91.32	92.05	92.78
"Algeria"	12	71.59	73.07	74.33	75.53	76.69	77.84	78.97	80.16	81.27	82.26	83.16	84.00	84.78	85.51	86.22	86.90	87.57	88.26
"Antigua and Barbuda"	28	75.31	77.11	78.83	80.44	81.78	82.95	84.02	85.02	85.97	86.87	87.76	88.63	89.48	90.31	91.09	91.88	92.67	93.43
"Argentina"	32	74.37	76.33	78.08	79.53	80.78	81.94	82.99	84.01	84.98	85.93	86.89	87.75	88.56	89.38	90.20	90.99	91.79	92.53
"Armenia"	51	73.04	74.56	75.96	77.35	78.60	79.69	80.66	81.58	82.42	83.17	83.93	84.66	85.39	86.08	86.79	87.50	88.19	88.85
"Aruba"	533	74.78	76.30	77.63	78.94	80.18	81.21	82.16	83.01	83.81	84.55	85.30	86.02	86.69	87.38	88.08	88.75	89.43	90.10
"Australia"	36	81.38	82.72	83.97	85.14	86.26	87.33	88.36	89.37	90.32	91.24	92.11	92.96	93.80	94.63	95.42	96.18	96.92	97.70
"Austria"	40	80.12	81.37	82.51	83.59	84.63	85.60	86.56	87.46	88.35	89.24	90.07	90.89	91.71	92.50	93.31	94.06	94.83	95.60
"Azerbaijan"	31	69.60	70.96	72.17	73.35	74.52	75.70	76.89	78.08	79.19	80.19	81.09	81.93	82.72	83.53	84.30	85.02	85.74	86.43
"Bahrain"	48	77.69	79.19	80.54	81.82	83.04	84.10	85.04	85.89	86.66	87.41	88.16	88.89	89.61	90.31	91.03	91.74	92.42	93.13
"Bangladesh"	50	72.16	75.20	78.09	81.04	83.91	86.30	88.46	90.39	92.11	93.64	94.99	96.22	97.37	98.36	99.34	100.21	101.04	101.81
"Barbados"	52	74.81	76.61	78.27	79.93	81.33	82.55	83.64	84.64	85.60	86.49	87.37	88.25	89.09	89.89	90.69	91.46	92.23	92.99
"Belarus"	112	66.10	67.59	68.89	70.15	71.39	72.63	73.83	75.00	76.05	76.94	77.82	78.60	79.36	80.07	80.75	81.41	82.06	82.73
"Belgium"	56	79.53	80.92	82.09	83.16	84.22	85.23	86.21	87.11	87.99	88.87	89.73	90.55	91.37	92.16	92.93	93.70	94.45	95.18
"Bhutan"	64	70.13	73.27	75.98	78.42	80.80	83.06	84.93	86.48	87.82	89.02	90.10	91.12	92.07	93.00	93.86	94.67	95.46	96.22
"Bolivia (Plurinational State of)"	68	67.45	70.14	72.52	74.76	76.93	79.06	80.93	82.39	83.64	84.70	85.68	86.53	87.37	88.14	88.88	89.55	90.24	90.82
"Bosnia and Herzegovina"	70	75.57	77.29	78.87	80.29	81.48	82.50	83.43	84.27	85.09	85.85	86.61	87.34	88.07	88.81	89.52	90.23	90.93	91.64
"Brazil"	76	72.36	75.00	77.59	79.79	81.71	83.44	85.03	86.50	87.85	89.10	90.26	91.34	92.35	93.35	94.22	95.07	95.94	96.73
"Brunei Darussalam"	96	78.46	80.39	82.00	83.29	84.41	85.43	86.45	87.40	88.32	89.20	90.05	90.90	91.72	92.52	93.32	94.08	94.82	95.54
"Bulgaria"	100	71.82	73.26	74.54	75.79	76.97	78.13	79.14	80.08	80.93	81.71	82.47	83.19	83.86	84.57	85.19	85.88	86.52	87.17
"Cambodia"	116	71.12	74.05	76.78	79.41	81.53	83.22	84.64	85.91	87.01	87.93	88.81	89.60	90.32	91.02	91.66	92.34	92.95	93.53
"Canada"	124	80.90	82.06	83.10	84.09	85.02	85.94	86.80	87.66	88.48	89.29	90.07	90.84	91.58	92.34	93.07	93.82	94.55	95.28
"Cape Verde"	132	73.24	76.46	79.17	81.30	83.13	84.65	85.95	87.09	88.09	88.98	89.75	90.52	91.24	91.87	92.52	93.11	93.70	94.30
"Channel Islands"	830	79.88	81.34	82.43	83.38	84.28	85.16	85.99	86.80	87.62	88.39	89.16	89.94	90.69	91.41	92.19	92.92	93.67	94.38
"Chile"	152	78.78	80.65	82.12	83.43	84.68	85.82	86.92	87.95	88.96	89.89	90.84	91.71	92.57	93.41	94.19	95.02	95.77	96.55
"China"	156	76.05	77.89	79.50	81.07	82.42	83.49	84.38	85.13	85.79	86.40	87.05	87.70	88.46	89.20	89.91	90.66	91.38	92.13
"China, Hong Kong SAR"	344	81.52	83.01	84.31	85.55	86.69	87.79	88.84	89.85	90.80	91.72	92.61	93.49	94.31	95.13	95.94	96.75	97.54	98.27
"China, Macao SAR"	446	79.78	81.50	82.81	84.02	85.14	86.21	87.23	88.19	89.12	90.03	90.92	91.78	92.62	93.44	94.25	95.03	95.79	96.55
"Colombia"	170	72.29	74.36	76.26	78.07	79.53	80.79	81.93	82.96	83.92	84.85	85.74	86.58	87.42	88.22	89.01	89.84	90.61	91.35
"Comoros"	174	61.97	64.31	66.52	68.68	70.76	72.89	75.01	77.20	79.48	81.63	83.50	85.20	86.74	88.17	89.47	90.67	91.83	92.91
"Costa Rica"	188	79.39	81.17	82.46	83.57	84.61	85.58	86.51	87.39	88.29	89.14	89.96	90.75	91.54	92.31	93.08	93.81	94.57	95.28
"Croatia"	191	75.36	77.19	78.80	80.09	81.16	82.13	83.03	83.90	84.76	85.56	86.36	87.16	87.91	88.69	89.44	90.20	90.94	91.65
"Cuba"	192	78.97	80.78	82.15	83.27	84.25	85.20	86.06	86.93	87.76	88.58	89.39	90.14	90.92	91.68	92.41	93.16	93.87	94.59
"Curacao"	531	75.40	77.23	78.83	80.08	81.15	82.09	82.97	83.81	84.61	85.39	86.17	86.94	87.67	88.41	89.15	89.84	90.53	91.24
