"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Southern Africa"	913	60718	61824	62545	63110	63539	63729	63592	63135	62356	61262	59851	58107	56048	53744	51276	48702	46063	43406
"Botswana"	72	2035	2091	2137	2189	2240	2288	2328	2357	2373	2372	2349	2305	2239	2156	2061	1958	1850	1739
"Lesotho"	426	2099	2166	2216	2258	2295	2328	2354	2372	2375	2360	2328	2280	2218	2145	2066	1981	1894	1805
"Namibia"	516	2369	2544	2706	2856	2986	3092	3171	3226	3258	3267	3252	3210	3143	3052	2945	2826	2700	2568
"South Africa"	710	52943	53690	54108	54389	54561	54533	54223	53645	52803	51712	50378	48786	46950	44929	42788	40571	38308	36038
"Swaziland"	748	1273	1332	1378	1418	1456	1488	1515	1535	1547	1551	1545	1527	1498	1461	1416	1366	1312	1256
"Western Africa"	914	347123	392072	440246	492978	549711	609192	669874	730477	790435	848980	905114	957481	1005045	1046653	1081812	1109981	1130986	1144527
"Benin"	204	10792	12095	13411	14758	16094	17370	18549	19613	20558	21371	22030	22511	22804	22913	22846	22622	22260	21777
"Burkina Faso"	854	17778	20152	22667	25360	28173	31013	33807	36508	39104	41564	43842	45874	47620	49046	50138	50892	51311	51405
"Cape Verde"	132	503	517	529	540	548	551	550	545	534	520	501	478	451	421	389	358	328	300
"Cote d'Ivoire"	384	21123	23286	25494	27807	30202	32647	35090	37483	39797	41991	44035	45881	47480	48797	49835	50582	51019	51156
"Gambia"	270	1954	2253	2573	2919	3282	3650	4010	4353	4672	4963	5222	5440	5615	5740	5817	5846	5829	5769
"Ghana"	288	26744	29085	31275	33400	35422	37251	38784	39981	40848	41405	41661	41598	41231	40576	39675	38575	37328	35981
"Guinea"	324	12250	13648	15054	16487	17901	19261	20520	21656	22656	23496	24163	24634	24896	24957	24827	24528	24083	23513
"Guinea-Bissau"	624	1774	1965	2158	2357	2558	2755	2942	3114	3271	3412	3535	3636	3715	3768	3799	3807	3795	3763
"Liberia"	430	4467	4983	5516	6082	6662	7235	7783	8298	8780	9229	9632	9977	10253	10457	10588	10648	10643	10578
"Mali"	466	16144	18737	21686	25016	28687	32627	36739	40934	45167	49356	53438	57320	60915	64133	66924	69233	71052	72357
"Mauritania"	478	4048	4487	4926	5376	5827	6264	6670	7039	7372	7668	7924	8132	8287	8385	8427	8418	8363	8268
"Niger"	562	19137	23035	27696	33219	39587	46769	54709	63334	72535	82163	92016	101891	111587	120904	129698	137775	144978	151124
"Nigeria"	566	182184	206391	232609	261671	293364	326990	361653	396509	431225	465356	498334	529351	557836	583011	604528	621998	635284	644146
"Saint Helena"	654	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	2
"Senegal"	686	14842	16769	18734	20794	22930	25091	27196	29188	31052	32785	34360	35746	36910	37828	38487	38899	39079	39047
"Sierra Leone"	694	6269	6758	7215	7669	8102	8491	8822	9096	9320	9499	9627	9700	9712	9663	9563	9418	9236	9023
"Togo"	768	7110	7906	8698	9519	10368	11221	12047	12823	13540	14199	14793	15308	15731	16051	16267	16380	16395	16317
"ASIA"	935	4342468	4472051	4557585	4613904	4637562	4623588	4570687	4481713	4362836	4219865	4057906	3880467	3690248	3492309	3294406	3102032	2916724	2739479
"Eastern Asia"	906	1621892	1630969	1621396	1600738	1569190	1525467	1469749	1403750	1330810	1254343	1177370	1100919	1024769	950604	882156	820820	764756	712258
"China"	156	1387863	1399056	1393251	1377276	1351363	1314296	1266265	1208828	1145070	1078180	1011004	944400	877957	813129	753613	700740	652655	607602
"China, Hong Kong SAR"	344	7239	7364	7433	7465	7449	7383	7274	7122	6919	6677	6412	6135	5848	5554	5259	4969	4683	4405
"China, Macao SAR"	446	578	609	637	661	680	693	702	706	706	701	692	678	660	638	613	588	563	538
"Dem. People's Republic of Korea"	408	24936	25181	25255	25214	25024	24657	24114	23422	22636	21808	20959	20076	19142	18158	17150	16152	15188	14274
"Japan"	392	125877	123069	119360	115234	110818	106182	101353	96408	91436	86412	81305	76204	71267	66668	62368	58317	54510	50913
"Mongolia"	496	2891	3031	3125	3185	3224	3248	3250	3222	3165	3087	2997	2901	2801	2698	2592	2486	2377	2268
"Republic of Korea"	410	49302	49643	49667	49490	49017	48168	46917	45291	43352	41216	39000	36768	34549	32375	30254	28236	26321	24559
"Other non-specified areas"	158	23206	23016	22667	22212	21615	20839	19875	18752	17525	16262	15001	13756	12544	11384	10308	9332	8458	7698
"South-Central Asia"	921	1841794	1922115	1985633	2036354	2071585	2089115	2088280	2070200	2036702	1989218	1929055	1857935	1777876	1691362	1601429	1511071	1422614	1337671
"Central Asia"	5500	65489	68652	70946	72584	73719	74431	74580	74034	72853	71177	69134	66819	64276	61569	58788	56008	53272	50616
"Kazakhstan"	398	16604	17088	17368	17517	17604	17640	17575	17372	17045	16634	16177	15685	15161	14609	14036	13445	12839	12231
"Kyrgyzstan"	417	5649	6005	6278	6475	6622	6748	6840	6872	6833	6739	6611	6461	6293	6107	5909	5699	5483	5264
"Tajikistan"	762	8528	9376	10126	10800	11443	12084	12678	13164	13533	13808	14012	14151	14215	14193	14093	13929	13713	13451
"Turkmenistan"	795	5317	5534	5683	5776	5817	5805	5738	5616	5448	5242	5003	4741	4464	4181	3905	3641	3391	3159
"Uzbekistan"	860	29391	30648	31492	32015	32233	32154	31749	31010	29994	28753	27331	25781	24144	22479	20845	19294	17846	16511
"Southern Asia"	5501	1776306	1853464	1914687	1963770	1997866	2014684	2013701	1996166	1963849	1918042	1859921	1791116	1713600	1629792	1542641	1455064	1369342	1287056
"Afghanistan"	4	31766	34957	38137	41194	43994	46348	48131	49347	50047	50264	49980	49154	47778	45897	43624	41117	38529	35950
"Bangladesh"	50	158686	164962	169610	173041	175027	175484	174434	171928	168217	163365	157462	150593	142898	134572	125877	117078	108463	100302
