"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Turkmenistan"	795	59.15	58.84	58.75	58.78	58.82	58.96	59.12	59.27	59.45	59.64	59.86	60.09	60.32	60.57	60.78	61.04	61.28	61.56
"Ukraine"	804	60.79	60.47	60.36	60.40	60.46	60.54	60.67	60.79	60.92	61.09	61.27	61.42	61.63	61.84	62.07	62.25	62.47	62.70
"United Arab Emirates"	784	74.15	74.06	74.19	74.42	74.73	75.10	75.54	76.01	76.49	76.99	77.49	78.03	78.61	79.16	79.73	80.26	80.78	81.25
"United Kingdom"	826	76.76	76.91	77.24	77.66	78.11	78.56	78.95	79.34	79.70	80.04	80.38	80.72	81.06	81.36	81.67	81.98	82.32	82.60
"United States of America"	840	74.71	74.73	74.93	75.28	75.63	76.05	76.51	76.96	77.41	77.85	78.27	78.65	79.01	79.36	79.70	80.02	80.35	80.64
"United States Virgin Islands"	850	75.54	76.06	76.67	77.25	77.76	78.22	78.65	79.03	79.42	79.79	80.16	80.52	80.83	81.17	81.53	81.84	82.15	82.48
"Uruguay"	858	71.87	71.89	72.10	72.42	72.83	73.29	73.80	74.30	74.86	75.42	75.93	76.45	76.93	77.38	77.83	78.25	78.63	79.01
"Uzbekistan"	860	62.79	62.37	62.18	62.06	62.01	62.04	62.09	62.17	62.22	62.34	62.47	62.59	62.73	62.84	63.01	63.15	63.32	63.49
"Vanuatu"	548	67.29	67.36	67.57	67.85	68.17	68.47	68.80	69.17	69.51	69.87	70.30	70.74	71.24	71.70	72.26	72.82	73.36	73.94
"Venezuela (Bolivarian Republic of)"	862	69.76	69.61	69.69	69.86	70.13	70.45	70.83	71.20	71.62	72.06	72.53	73.06	73.54	74.02	74.51	75.06	75.58	76.07
"Viet Nam"	704	69.47	69.60	69.87	70.28	70.74	71.25	71.79	72.38	72.91	73.47	73.99	74.55	75.02	75.47	75.92	76.33	76.70	77.12
"Western Sahara"	732	63.32	63.40	63.50	63.66	63.81	64.00	64.17	64.31	64.51	64.70	64.84	65.05	65.23	65.43	65.63	65.86	66.05	66.26
"Yemen"	887	59.32	59.17	59.12	59.22	59.31	59.45	59.61	59.76	59.94	60.15	60.33	60.55	60.74	60.92	61.14	61.38	61.60	61.82
