"name"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"
"WORLD"	900	900	"World"	900	"World"	0
"More developed regions"	901	901	"More developed regions"	900	"World"	5
"Less developed regions"	902	902	"Less developed regions"	900	"World"	5
"Least developed countries"	941	941	"Least developed countries"	902	"Less developed regions"	5
"Other less developed countries"	934	934	"Other less developed countries"	902	"Less developed regions"	5
"Less developed regions, excluding China"	948	948	"Less developed regions, excluding China"	902	"Less developed regions"	12
"Sub-Saharan Africa"	947	947	"Sub-Saharan Africa"	902	"Less developed regions"	12
"AFRICA"	903	903	"Africa"	900	"World"	2
"Eastern Africa"	910	910	"Eastern Africa"	903	"Africa"	3
"Burundi"	108	910	"Eastern Africa"	903	"Africa"	4
"Comoros"	174	910	"Eastern Africa"	903	"Africa"	4
"Djibouti"	262	910	"Eastern Africa"	903	"Africa"	4
"Eritrea"	232	910	"Eastern Africa"	903	"Africa"	4
"Ethiopia"	231	910	"Eastern Africa"	903	"Africa"	4
"Kenya"	404	910	"Eastern Africa"	903	"Africa"	4
"Madagascar"	450	910	"Eastern Africa"	903	"Africa"	4
"Malawi"	454	910	"Eastern Africa"	903	"Africa"	4
"Mauritius"	480	910	"Eastern Africa"	903	"Africa"	4
"Mayotte"	175	910	"Eastern Africa"	903	"Africa"	4
"Mozambique"	508	910	"Eastern Africa"	903	"Africa"	4
"Reunion"	638	910	"Eastern Africa"	903	"Africa"	4
"Rwanda"	646	910	"Eastern Africa"	903	"Africa"	4
"Seychelles"	690	910	"Eastern Africa"	903	"Africa"	4
"Somalia"	706	910	"Eastern Africa"	903	"Africa"	4
"South Sudan"	728	910	"Eastern Africa"	903	"Africa"	4
"Uganda"	800	910	"Eastern Africa"	903	"Africa"	4
"United Republic of Tanzania"	834	910	"Eastern Africa"	903	"Africa"	4
"Zambia"	894	910	"Eastern Africa"	903	"Africa"	4
"Zimbabwe"	716	910	"Eastern Africa"	903	"Africa"	4
"Middle Africa"	911	911	"Middle Africa"	903	"Africa"	3
"Angola"	24	911	"Middle Africa"	903	"Africa"	4
"Cameroon"	120	911	"Middle Africa"	903	"Africa"	4
"Central African Republic"	140	911	"Middle Africa"	903	"Africa"	4
"Chad"	148	911	"Middle Africa"	903	"Africa"	4
"Congo"	178	911	"Middle Africa"	903	"Africa"	4
"Democratic Republic of the Congo"	180	911	"Middle Africa"	903	"Africa"	4
"Equatorial Guinea"	226	911	"Middle Africa"	903	"Africa"	4
"Gabon"	266	911	"Middle Africa"	903	"Africa"	4
"Sao Tome and Principe"	678	911	"Middle Africa"	903	"Africa"	4
"Northern Africa"	912	912	"Northern Africa"	903	"Africa"	3
"Algeria"	12	912	"Northern Africa"	903	"Africa"	4
"Egypt"	818	912	"Northern Africa"	903	"Africa"	4
"Libya"	434	912	"Northern Africa"	903	"Africa"	4
"Morocco"	504	912	"Northern Africa"	903	"Africa"	4
"Sudan"	729	912	"Northern Africa"	903	"Africa"	4
"Tunisia"	788	912	"Northern Africa"	903	"Africa"	4
"Western Sahara"	732	912	"Northern Africa"	903	"Africa"	4
"Southern Africa"	913	913	"Southern Africa"	903	"Africa"	3
"Botswana"	72	913	"Southern Africa"	903	"Africa"	4
"Lesotho"	426	913	"Southern Africa"	903	"Africa"	4
"Namibia"	516	913	"Southern Africa"	903	"Africa"	4
"South Africa"	710	913	"Southern Africa"	903	"Africa"	4
"Swaziland"	748	913	"Southern Africa"	903	"Africa"	4
"Western Africa"	914	914	"Western Africa"	903	"Africa"	3
"Benin"	204	914	"Western Africa"	903	"Africa"	4
"Burkina Faso"	854	914	"Western Africa"	903	"Africa"	4
"Cape Verde"	132	914	"Western Africa"	903	"Africa"	4
"Cote d'Ivoire"	384	914	"Western Africa"	903	"Africa"	4
"Gambia"	270	914	"Western Africa"	903	"Africa"	4
"Ghana"	288	914	"Western Africa"	903	"Africa"	4
"Guinea"	324	914	"Western Africa"	903	"Africa"	4
"Guinea-Bissau"	624	914	"Western Africa"	903	"Africa"	4
"Liberia"	430	914	"Western Africa"	903	"Africa"	4
"Mali"	466	914	"Western Africa"	903	"Africa"	4
"Mauritania"	478	914	"Western Africa"	903	"Africa"	4
"Niger"	562	914	"Western Africa"	903	"Africa"	4
"Nigeria"	566	914	"Western Africa"	903	"Africa"	4
"Saint Helena"	654	914	"Western Africa"	903	"Africa"	4
