"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Albania"	8	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.06	1.065	1.07	1.078	1.078	1.078	1.073	1.067	1.062	1.058	1.052	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Algeria"	12	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Angola"	24	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Antigua and Barbuda"	28	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Argentina"	32	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
"Armenia"	51	1.061	1.06	1.065	1.064	1.057	1.052	1.05	1.058	1.077	1.151	1.173	1.151	1.138	1.129	1.119	1.109	1.098	1.088	1.077	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067
"Aruba"	533	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Australia"	36	1.052	1.056	1.058	1.055	1.053	1.056	1.055	1.054	1.056	1.054	1.055	1.056	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055
"Austria"	40	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055
"Azerbaijan"	31	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.075	1.13	1.17	1.166	1.15	1.121	1.092	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062
"Bahamas"	44	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057
"Bahrain"	48	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.049	1.029	1.047	1.032	1.038	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039	1.039
"Bangladesh"	50	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048	1.048
"Barbados"	52	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036
"Belarus"	112	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.065	1.066	1.061	1.061	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Belgium"	56	1.058	1.059	1.059	1.059	1.058	1.059	1.057	1.058	1.051	1.043	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Belize"	84	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Benin"	204	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041
"Bhutan"	64	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
"Bolivia (Plurinational State of)"	68	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Bosnia and Herzegovina"	70	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.072	1.065	1.057	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Botswana"	72	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Brazil"	76	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Brunei Darussalam"	96	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055
"Bulgaria"	100	1.067	1.065	1.058	1.062	1.061	1.061	1.061	1.06	1.052	1.058	1.061	1.063	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061
"Burkina Faso"	854	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046
"Burundi"	108	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Cambodia"	116	1.042	1.042	1.041	1.043	1.041	1.04	1.049	1.035	1.036	1.037	1.034	1.064	1.049	1.049	1.054	1.05	1.051	1.052	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051
"Cameroon"	120	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Canada"	124	1.058	1.057	1.055	1.055	1.06	1.056	1.056	1.052	1.056	1.054	1.054	1.053	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
"Cape Verde"	132	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Central African Republic"	140	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Chad"	148	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Channel Islands"	830	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057
