"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	62.03	61.51	61.91	62.34	62.78	63.18	63.53	63.91	64.24	64.56	64.91	65.19	65.50	65.81	66.10	66.42	66.71	66.98
"Albania"	8	79.16	79.34	79.63	79.94	80.29	80.65	81.00	81.38	81.76	82.15	82.50	82.87	83.23	83.60	83.96	84.30	84.62	84.94
"Algeria"	12	70.79	70.68	70.69	70.78	70.89	71.02	71.17	71.31	71.48	71.62	71.76	71.93	72.08	72.24	72.37	72.54	72.67	72.80
"Antigua and Barbuda"	28	76.71	76.86	77.10	77.41	77.75	78.09	78.43	78.78	79.14	79.50	79.86	80.22	80.60	80.93	81.30	81.65	81.99	82.35
"Argentina"	32	78.44	78.56	78.79	79.05	79.37	79.71	80.04	80.38	80.74	81.12	81.48	81.86	82.21	82.57	82.95	83.28	83.62	83.98
"Armenia"	51	76.42	76.35	76.40	76.51	76.65	76.81	76.99	77.18	77.38	77.58	77.80	78.00	78.24	78.47	78.66	78.93	79.11	79.34
"Aruba"	533	76.26	76.27	76.38	76.56	76.75	76.98	77.21	77.43	77.65	77.92	78.16	78.37	78.60	78.82	79.04	79.28	79.50	79.72
"Australia"	36	83.56	83.78	84.08	84.43	84.77	85.13	85.49	85.88	86.26	86.63	87.03	87.39	87.77	88.16	88.54	88.92	89.32	89.69
"Austria"	40	82.31	82.56	82.89	83.26	83.62	84.00	84.39	84.76	85.14	85.51	85.87	86.23	86.61	86.98	87.32	87.68	88.06	88.38
"Azerbaijan"	31	72.08	71.98	72.00	72.11	72.29	72.45	72.65	72.84	73.08	73.33	73.54	73.80	74.04	74.27	74.51	74.76	74.97	75.21
"Bahrain"	48	75.90	75.97	76.17	76.42	76.67	76.97	77.25	77.53	77.82	78.08	78.38	78.67	78.97	79.25	79.58	79.85	80.17	80.45
"Bangladesh"	50	68.99	69.60	70.16	70.69	71.17	71.63	72.09	72.46	72.85	73.22	73.57	73.95	74.30	74.61	74.95	75.26	75.55	75.89
"Barbados"	52	76.14	76.29	76.53	76.82	77.15	77.50	77.86	78.19	78.56	78.92	79.28	79.61	79.96	80.30	80.65	80.99	81.34	81.69
"Belarus"	112	74.17	74.06	74.10	74.21	74.32	74.47	74.64	74.84	75.00	75.18	75.35	75.53	75.73	75.92	76.12	76.29	76.46	76.67
"Belgium"	56	81.76	81.95	82.25	82.55	82.89	83.24	83.60	83.95	84.29	84.63	84.96	85.27	85.61	85.91	86.26	86.58	86.89	87.20
"Bhutan"	64	65.97	66.64	67.23	67.69	68.14	68.57	68.95	69.36	69.66	70.04	70.42	70.70	71.04	71.33	71.65	71.98	72.31	72.59
"Bolivia (Plurinational State of)"	68	67.12	67.40	67.75	68.09	68.38	68.69	69.02	69.30	69.59	69.84	70.13	70.38	70.67	70.90	71.16	71.39	71.68	71.91
"Bosnia and Herzegovina"	70	77.37	77.45	77.66	77.90	78.15	78.42	78.71	79.01	79.28	79.57	79.89	80.14	80.41	80.70	80.96	81.25	81.52	81.81
"Brazil"	76	75.73	76.10	76.55	76.99	77.44	77.87	78.29	78.70	79.08	79.49	79.90	80.30	80.68	81.05	81.43	81.79	82.18	82.54
"Brunei Darussalam"	96	79.00	79.25	79.58	79.93	80.30	80.69	81.08	81.47	81.85	82.22	82.60	82.96	83.35	83.72	84.05	84.39	84.73	85.07
"Bulgaria"	100	75.72	75.60	75.64	75.73	75.88	76.03	76.24	76.44	76.65	76.87	77.12	77.35	77.59	77.84	78.10	78.32	78.62	78.87
"Cambodia"	116	71.75	72.07	72.32	72.58	72.84	73.05	73.25	73.49	73.68	73.92	74.13	74.35	74.55	74.76	74.98	75.19	75.36	75.61
"Canada"	124	82.32	82.47	82.72	82.99	83.30	83.61	83.92	84.23	84.54	84.83	85.13	85.43	85.74	86.05	86.33	86.60	86.90	87.19
"Cape Verde"	132	76.77	77.21	77.62	78.04	78.40	78.77	79.12	79.45	79.73	80.05	80.32	80.60	80.92	81.18	81.46	81.72	81.99	82.25
"Channel Islands"	830	81.01	81.09	81.27	81.53	81.80	82.10	82.39	82.72	83.05	83.37	83.69	84.04	84.36	84.67	84.98	85.34	85.65	85.99
"Chile"	152	81.26	81.59	81.98	82.39	82.79	83.18	83.57	83.92	84.29	84.63	85.00	85.32	85.66	85.98	86.30	86.59	86.90	87.20
"China"	156	74.97	74.99	75.12	75.34	75.55	75.78	76.01	76.28	76.50	76.80	77.07	77.33	77.59	77.88	78.13	78.40	78.68	78.96
"China, Hong Kong SAR"	344	85.21	85.56	85.97	86.42	86.85	87.27	87.69	88.14	88.59	89.00	89.41	89.80	90.20	90.58	90.96	91.33	91.71	92.08
