"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	59.49	63.05	65.55	67.64	69.43	70.95	72.27	73.42	74.51	75.59	76.67	77.77	78.84	79.92	80.96	81.94	82.82	83.60
"Albania"	8	75.59	77.21	78.72	79.90	80.89	81.79	82.63	83.45	84.22	84.99	85.75	86.49	87.20	87.90	88.59	89.28	89.96	90.64
"Algeria"	12	70.76	71.91	72.88	73.78	74.68	75.58	76.50	77.44	78.41	79.39	80.36	81.29	82.13	82.87	83.59	84.24	84.89	85.48
"Antigua and Barbuda"	28	74.58	76.04	77.44	78.83	80.13	81.20	82.17	83.06	83.88	84.69	85.46	86.23	86.96	87.68	88.40	89.09	89.78	90.46
"Argentina"	32	73.67	75.26	76.80	78.14	79.24	80.22	81.13	81.99	82.81	83.62	84.40	85.16	85.90	86.63	87.36	88.05	88.76	89.46
"Armenia"	51	72.33	73.54	74.69	75.84	76.97	78.06	79.03	79.87	80.64	81.38	82.07	82.75	83.43	84.08	84.71	85.36	85.99	86.61
"Aruba"	533	74.06	75.26	76.38	77.48	78.59	79.63	80.56	81.39	82.15	82.86	83.53	84.19	84.83	85.46	86.07	86.68	87.31	87.92
"Australia"	36	80.95	82.06	83.09	84.07	85.01	85.90	86.76	87.61	88.43	89.22	90.00	90.77	91.52	92.25	92.97	93.69	94.39	95.09
"Austria"	40	79.45	80.57	81.59	82.55	83.47	84.33	85.18	85.99	86.81	87.57	88.33	89.08	89.82	90.56	91.28	91.99	92.68	93.39
"Azerbaijan"	31	68.82	69.83	70.77	71.69	72.62	73.57	74.53	75.53	76.58	77.60	78.58	79.45	80.25	81.00	81.72	82.40	83.07	83.71
"Bahrain"	48	76.99	78.20	79.33	80.44	81.53	82.60	83.56	84.39	85.14	85.85	86.52	87.18	87.84	88.49	89.14	89.79	90.41	91.05
"Bangladesh"	50	71.29	73.97	76.44	78.94	81.40	83.64	85.42	86.95	88.32	89.52	90.63	91.64	92.57	93.42	94.22	95.00	95.76	96.45
