"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	59.49	59.56	60.18	60.76	61.30	61.79	62.22	62.65	63.07	63.45	63.83	64.17	64.50	64.85	65.19	65.53	65.86	66.19
"Albania"	8	73.41	73.96	74.64	75.36	76.14	76.92	77.64	78.31	78.88	79.41	79.90	80.36	80.81	81.27	81.70	82.12	82.55	82.94
"Algeria"	12	67.98	67.89	67.89	67.92	67.99	68.10	68.18	68.30	68.43	68.58	68.75	68.95	69.12	69.36	69.61	69.84	70.12	70.38
"Antigua and Barbuda"	28	72.22	72.47	72.87	73.35	73.89	74.47	75.10	75.75	76.44	77.12	77.81	78.49	79.11	79.66	80.19	80.68	81.17	81.62
"Argentina"	32	71.42	71.86	72.42	73.07	73.76	74.48	75.23	75.94	76.63	77.28	77.84	78.38	78.87	79.33	79.79	80.23	80.67	81.10
"Armenia"	51	70.04	70.10	70.29	70.56	70.89	71.26	71.67	72.11	72.60	73.11	73.63	74.16	74.72	75.29	75.86	76.39	76.91	77.43
"Aruba"	533	71.74	71.81	72.00	72.28	72.61	72.98	73.38	73.85	74.33	74.81	75.31	75.84	76.38	76.93	77.45	77.97	78.46	78.95
"Australia"	36	79.36	79.73	80.16	80.60	81.05	81.52	81.98	82.45	82.90	83.37	83.82	84.28	84.74	85.20	85.66	86.11	86.56	87.01
"Austria"	40	77.46	78.04	78.58	79.07	79.56	80.03	80.50	80.96	81.42	81.87	82.32	82.77	83.23	83.67	84.09	84.53	84.95	85.38
"Azerbaijan"	31	66.27	66.14	66.13	66.21	66.30	66.47	66.64	66.86	67.10	67.40	67.70	68.05	68.41	68.83	69.25	69.70	70.17	70.70
"Bahrain"	48	74.63	74.71	74.92	75.20	75.54	75.93	76.36	76.83	77.35	77.89	78.44	78.99	79.60	80.19	80.78	81.36	81.87	82.36
"Bangladesh"	50	68.11	68.87	69.54	70.08	70.57	71.03	71.45	71.86	72.27	72.71	73.15	73.65	74.19	74.75	75.29	75.87	76.49	77.11
"Barbados"	52	71.68	71.91	72.26	72.69	73.20	73.75	74.34	74.96	75.63	76.31	76.98	77.68	78.35	78.97	79.55	80.09	80.59	81.05
"Belarus"	112	62.92	62.97	63.15	63.41	63.70	64.03	64.39	64.77	65.21	65.63	66.08	66.53	67.03	67.54	68.06	68.60	69.14	69.74
"Belgium"	56	76.85	77.45	78.05	78.57	79.05	79.51	79.95	80.39	80.82	81.24	81.67	82.09	82.51	82.92	83.33	83.73	84.14	84.53
"Bhutan"	64	66.01	66.92	67.66	68.25	68.76	69.22	69.62	69.97	70.33	70.70	71.06	71.40	71.77	72.13	72.52	72.92	73.33	73.79
"Bolivia (Plurinational State of)"	68	63.34	63.79	64.21	64.61	64.98	65.33	65.67	65.97	66.29	66.55	66.88	67.17	67.48	67.79	68.09	68.38	68.74	69.09
"Bosnia and Herzegovina"	70	72.57	72.86	73.28	73.77	74.30	74.87	75.48	76.12	76.77	77.41	78.06	78.65	79.20	79.73	80.20	80.64	81.05	81.45
"Brazil"	76	68.91	69.55	70.26	71.03	71.82	72.64	73.50	74.35	75.20	76.07	76.87	77.59	78.26	78.85	79.42	79.92	80.40	80.87
"Brunei Darussalam"	96	75.54	76.03	76.65	77.32	78.03	78.77	79.47	80.11	80.68	81.21	81.69	82.18	82.64	83.07	83.49	83.93	84.35	84.77
"Bulgaria"	100	68.78	68.78	68.90	69.11	69.38	69.69	70.05	70.45	70.89	71.36	71.87	72.40	72.97	73.54	74.15	74.73	75.35	75.94
"Cambodia"	116	67.14	67.83	68.35	68.81	69.21	69.60	69.99	70.40	70.82	71.26	71.72	72.15	72.66	73.17	73.72	74.26	74.80	75.36
"Canada"	124	78.26	78.74	79.19	79.62	80.04	80.45	80.84	81.23	81.63	82.02	82.40	82.78	83.18	83.56	83.91	84.31	84.66	85.03
"Cape Verde"	132	69.49	70.34	71.19	72.03	72.89	73.73	74.56	75.37	76.13	76.81	77.41	77.96	78.45	78.89	79.31	79.70	80.07	80.43
"Channel Islands"	830	77.19	77.60	78.12	78.67	79.18	79.67	80.12	80.55	80.95	81.37	81.78	82.20	82.61	83.02	83.42	83.83	84.24	84.64
"Chile"	152	75.90	76.78	77.64	78.33	78.92	79.47	79.97	80.45	80.92	81.36	81.79	82.21	82.65	83.05	83.45	83.84	84.25	84.64
"China"	156	72.77	72.88	73.03	73.24	73.43	73.62	73.80	73.98	74.19	74.42	74.73	75.12	75.60	76.12	76.70	77.28	77.88	78.48
"China, Hong Kong SAR"	344	79.49	79.99	80.54	81.07	81.62	82.14	82.67	83.17	83.68	84.17	84.67	85.13	85.60	86.08	86.54	87.01	87.45	87.90
"China, Macao SAR"	446	77.03	77.76	78.52	79.19	79.78	80.32	80.83	81.33	81.80	82.27	82.74	83.18	83.62	84.06	84.50	84.93	85.36	85.75
"Colombia"	170	69.09	69.55	70.12	70.76	71.45	72.18	72.95	73.73	74.55	75.34	76.14	76.89	77.57	78.18	78.75	79.26	79.75	80.22
"Comoros"	174	57.79	58.00	58.28	58.60	58.94	59.27	59.61	59.95	60.27	60.64	60.97	61.31	61.68	62.01	62.35	62.72	63.03	63.40
"Costa Rica"	188	76.59	77.25	78.00	78.71	79.31	79.85	80.33	80.78	81.20	81.61	82.02	82.42	82.80	83.17	83.54	83.90	84.27	84.63
"Croatia"	191	72.47	72.94	73.51	74.16	74.86	75.58	76.29	76.94	77.56	78.12	78.63	79.10	79.55	79.98	80.38	80.78	81.18	81.56
"Cuba"	192	76.14	76.62	77.20	77.85	78.49	79.12	79.70	80.23	80.71	81.16	81.60	82.02	82.42	82.81	83.20	83.57	83.94	84.32
"Curacao"	531	72.53	72.97	73.52	74.14	74.78	75.47	76.14	76.82	77.44	78.00	78.49	78.95	79.39	79.78	80.18	80.57	80.95	81.32
"Cyprus"	196	76.74	77.18	77.73	78.33	78.91	79.48	79.98	80.44	80.88	81.30	81.73	82.14	82.53	82.94	83.32	83.71	84.10	84.49
"Czech Republic"	203	73.45	73.84	74.35	74.94	75.58	76.24	76.92	77.53	78.10	78.64	79.13	79.60	80.06	80.51	80.95	81.40	81.84	82.28
"Dem. People's Republic of Korea"	408	64.94	65.64	66.32	66.98	67.61	68.24	68.90	69.58	70.28	71.02	71.77	72.53	73.31	74.12	74.92	75.73	76.52	77.29
"Democratic Republic of the Congo"	180	46.38	46.99	47.83	48.74	49.73	50.72	51.76	52.75	53.73	54.71	55.62	56.50	57.33	58.09	58.80	59.48	60.10	60.70
"Denmark"	208	76.11	76.46	76.92	77.45	78.02	78.60	79.13	79.62	80.06	80.49	80.91	81.32	81.71	82.09	82.47	82.85	83.21	83.58
"Dominican Republic"	214	69.00	69.45	70.00	70.62	71.30	72.01	72.74	73.49	74.28	75.08	75.90	76.69	77.47	78.20	78.85	79.44	79.98	80.51
"Ecuador"	218	72.31	72.98	73.73	74.53	75.33	76.13	76.90	77.67	78.36	78.97	79.51	79.99	80.44	80.88	81.28	81.67	82.04	82.40
"Egypt"	818	67.35	67.69	68.09	68.52	68.91	69.34	69.80	70.29	70.79	71.34	71.90	72.50	73.12	73.77	74.45	75.15	75.83	76.55
"El Salvador"	222	66.41	66.97	67.62	68.34	69.08	69.86	70.64	71.47	72.30	73.16	74.00	74.82	75.58	76.30	76.94	77.52	78.07	78.58
"Eritrea"	232	58.42	59.66	60.66	61.45	62.07	62.64	63.10	63.54	63.96	64.35	64.67	65.04	65.37	65.72	66.05	66.39	66.69	67.00
