"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"WORLD"	900	72.303	73.32	74.241	75.118	75.948	76.73	77.467	78.163	78.827	79.457	80.061	80.645	81.191	81.716	82.234	82.756	83.257	83.724
"More developed regions"	901	81.139	81.885	82.615	83.299	83.932	84.539	85.14	85.732	86.318	86.882	87.441	88.014	88.598	89.198	89.786	90.349	90.888	91.423
"Less developed regions"	902	70.208	71.32	72.334	73.311	74.252	75.145	75.984	76.771	77.511	78.205	78.865	79.497	80.08	80.626	81.157	81.689	82.202	82.678
"Least developed countries"	941	61.958	63.738	65.379	66.936	68.434	69.831	71.11	72.282	73.346	74.294	75.163	75.957	76.68	77.344	77.96	78.549	79.116	79.659
"Less developed regions, excluding least developed countries"	934	72.012	73.032	73.967	74.873	75.734	76.553	77.337	78.083	78.792	79.472	80.12	80.749	81.332	81.884	82.42	82.96	83.482	83.965
"Less developed regions, excluding China"	948	68.567	69.809	70.973	72.095	73.17	74.184	75.127	76.011	76.826	77.576	78.272	78.929	79.539	80.113	80.649	81.172	81.678	82.162
"Sub-Saharan Africa"	947	57.16	59.061	60.924	62.845	64.735	66.517	68.154	69.656	71.009	72.233	73.357	74.372	75.279	76.097	76.84	77.529	78.175	78.779
"AFRICA"	903	59.591	61.309	62.973	64.68	66.366	67.963	69.438	70.794	72.016	73.123	74.138	75.056	75.883	76.636	77.328	77.978	78.59	79.163
"Eastern Africa"	910	61.447	63.663	65.584	67.465	69.297	70.972	72.447	73.761	74.899	75.907	76.837	77.68	78.449	79.163	79.836	80.49	81.12	81.717
"Burundi"	108	55.84	57.97	59.59	61.89	64.51	66.95	69.17	71.01	72.58	74.15	75.41	76.42	77.35	78.23	79.06	79.83	80.49	81.08
"Comoros"	174	62.2	63.29	64.28	65.21	66.06	66.88	67.67	68.42	69.13	69.83	70.51	71.18	71.84	72.49	73.12	73.75	74.37	74.98
"Djibouti"	262	63.24	65.35	67.28	69.11	70.58	71.81	73.02	74.15	75.11	75.87	76.57	77.23	77.87	78.5	79.1	79.68	80.2	80.65
"Eritrea"	232	64.9	67.43	69.72	71.71	73.38	74.72	75.86	76.82	77.67	78.45	79.15	79.78	80.41	80.98	81.54	82.08	82.6	83.1
"Ethiopia"	231	65.01	67.84	70.02	71.72	73.38	74.82	75.94	76.94	77.86	78.73	79.55	80.25	80.86	81.44	82.01	82.56	83.11	83.64
"Kenya"	404	63.48	65.18	66.46	67.91	69.44	70.99	72.49	73.77	74.86	75.89	76.86	77.74	78.59	79.35	79.96	80.55	81.12	81.65
