"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	62.03	62.32	63.09	63.80	64.46	65.06	65.61	66.14	66.64	67.12	67.56	67.98	68.41	68.83	69.25	69.63	70.02	70.41
"Albania"	8	79.63	80.03	80.48	80.94	81.42	81.89	82.36	82.82	83.28	83.75	84.20	84.64	85.07	85.50	85.94	86.36	86.77	87.19
"Algeria"	12	71.40	71.58	71.82	72.08	72.36	72.64	72.91	73.17	73.46	73.75	74.02	74.29	74.54	74.82	75.11	75.36	75.63	75.91
"Antigua and Barbuda"	28	77.22	77.60	78.04	78.50	78.98	79.45	79.91	80.37	80.83	81.29	81.73	82.20	82.65	83.09	83.54	83.97	84.40	84.81
"Argentina"	32	78.91	79.26	79.66	80.10	80.54	81.00	81.45	81.91	82.37	82.82	83.28	83.75	84.19	84.64	85.05	85.48	85.91	86.33
"Armenia"	51	76.93	77.10	77.34	77.61	77.91	78.23	78.54	78.85	79.19	79.51	79.84	80.17	80.51	80.82	81.16	81.47	81.80	82.14
"Aruba"	533	76.79	77.00	77.30	77.64	77.96	78.32	78.66	79.02	79.33	79.68	80.02	80.36	80.68	81.00	81.33	81.64	81.97	82.30
"Australia"	36	83.94	84.33	84.77	85.22	85.68	86.15	86.62	87.09	87.56	88.04	88.50	88.97	89.42	89.88	90.34	90.79	91.25	91.71
"Austria"	40	82.73	83.17	83.64	84.12	84.60	85.08	85.56	86.03	86.49	86.94	87.40	87.86	88.31	88.76	89.19	89.62	90.05	90.47
"Azerbaijan"	31	72.67	72.82	73.06	73.35	73.67	74.00	74.34	74.68	75.03	75.36	75.73	76.08	76.44	76.78	77.16	77.52	77.86	78.22
"Bahrain"	48	76.43	76.73	77.10	77.48	77.89	78.30	78.67	79.07	79.47	79.87	80.27	80.66	81.04	81.43	81.80	82.18	82.55	82.92
"Bangladesh"	50	69.79	70.83	71.76	72.56	73.31	73.99	74.61	75.17	75.72	76.22	76.72	77.20	77.69	78.15	78.60	79.04	79.46	79.87
"Barbados"	52	76.67	77.05	77.49	77.95	78.42	78.89	79.36	79.83	80.28	80.73	81.18	81.65	82.09	82.54	82.96	83.39	83.80	84.23
"Belarus"	112	74.71	74.83	75.03	75.26	75.51	75.76	76.03	76.30	76.57	76.84	77.10	77.36	77.62	77.89	78.18	78.45	78.75	79.03
"Belgium"	56	82.18	82.56	83.00	83.46	83.91	84.36	84.80	85.23	85.66	86.10	86.52	86.93	87.38	87.78	88.20	88.60	89.01	89.41
"Bhutan"	64	66.83	67.99	68.94	69.73	70.44	71.07	71.68	72.21	72.73	73.25	73.75	74.20	74.65	75.11	75.53	75.96	76.40	76.80
"Bolivia (Plurinational State of)"	68	67.87	68.49	69.09	69.64	70.17	70.64	71.10	71.52	71.94	72.32	72.75	73.15	73.52	73.90	74.25	74.60	74.96	75.31
"Bosnia and Herzegovina"	70	77.87	78.18	78.56	78.93	79.34	79.75	80.15	80.54	80.94	81.32	81.72	82.10	82.47	82.84	83.22	83.57	83.94	84.28
"Brazil"	76	76.32	76.98	77.65	78.30	78.90	79.49	80.05	80.60	81.14	81.67	82.17	82.67	83.16	83.64	84.12	84.57	85.00	85.43
"Brunei Darussalam"	96	79.48	79.93	80.43	80.94	81.45	81.95	82.45	82.94	83.41	83.89	84.35	84.81	85.26	85.69	86.11	86.54	86.97	87.36
"Bulgaria"	100	76.22	76.34	76.55	76.80	77.08	77.37	77.67	77.97	78.29	78.61	78.95	79.27	79.63	79.96	80.31	80.66	81.03	81.38
"Cambodia"	116	72.68	73.50	74.13	74.66	75.13	75.55	75.95	76.33	76.67	77.02	77.36	77.69	78.03	78.36	78.69	78.96	79.29	79.60
"Canada"	124	82.73	83.07	83.47	83.87	84.28	84.70	85.09	85.49	85.89	86.27	86.66	87.05	87.42	87.81	88.18	88.56	88.92	89.28
"Cape Verde"	132	77.41	78.15	78.80	79.39	79.94	80.44	80.91	81.37	81.80	82.21	82.61	82.98	83.35	83.72	84.08	84.43	84.78	85.12
"Channel Islands"	830	81.44	81.70	82.04	82.41	82.80	83.20	83.61	84.02	84.43	84.82	85.24	85.66	86.06	86.47	86.90	87.29	87.70	88.11
