"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"WORLD"	900	67.785	68.81	69.721	70.592	71.434	72.237	72.996	73.713	74.416	75.093	75.755	76.394	77.01	77.608	78.209	78.805	79.378	79.93
"More developed regions"	901	74.297	75.224	76.121	76.969	77.751	78.484	79.201	79.908	80.621	81.329	82.033	82.725	83.405	84.052	84.68	85.288	85.88	86.461
"Less developed regions"	902	66.51	67.549	68.482	69.391	70.286	71.142	71.949	72.707	73.445	74.152	74.84	75.501	76.131	76.738	77.345	77.948	78.528	79.086
"Least developed countries"	941	59.349	60.918	62.341	63.717	65.054	66.303	67.457	68.53	69.53	70.429	71.267	72.019	72.712	73.35	73.953	74.531	75.089	75.636
"Less developed regions, excluding least developed countries"	934	68.145	69.137	70.035	70.902	71.746	72.557	73.325	74.05	74.763	75.46	76.142	76.815	77.461	78.091	78.729	79.367	79.986	80.582
"Less developed regions, excluding China"	948	64.391	65.578	66.683	67.751	68.793	69.781	70.714	71.584	72.413	73.189	73.933	74.642	75.322	75.97	76.605	77.228	77.832	78.421
"Sub-Saharan Africa"	947	54.766	56.551	58.268	60.013	61.709	63.286	64.728	66.05	67.258	68.348	69.361	70.285	71.132	71.914	72.646	73.339	73.991	74.611
"AFRICA"	903	56.886	58.471	59.981	61.519	63.027	64.449	65.767	66.981	68.103	69.124	70.079	70.952	71.752	72.492	73.187	73.848	74.472	75.065
"Eastern Africa"	910	58.55	60.541	62.226	63.922	65.542	67.009	68.313	69.498	70.579	71.544	72.451	73.277	74.059	74.801	75.516	76.211	76.872	77.503
"Burundi"	108	52.03	53.83	55.3	57.34	59.75	62.01	64.08	65.9	67.48	68.91	70.15	71.14	72.06	72.98	73.88	74.72	75.43	76.05
"Comoros"	174	59.37	60.31	61.17	61.96	62.68	63.37	64.01	64.63	65.22	65.78	66.34	66.89	67.42	67.97	68.49	69.03	69.55	70.09
"Djibouti"	262	60.04	62.02	63.79	65.36	66.72	67.94	69.04	70.03	70.83	71.56	72.26	73	73.71	74.4	75.02	75.55	76.04	76.52
"Eritrea"	232	60.21	62.66	64.88	66.79	68.39	69.68	70.81	71.8	72.75	73.67	74.58	75.48	76.4	77.31	78.18	79.05	79.82	80.53
"Ethiopia"	231	61.67	64.03	65.92	67.55	69	70.23	71.23	72.16	73.1	74	74.83	75.52	76.14	76.74	77.33	77.91	78.49	79.07
"Kenya"	404	59.67	61.13	62.34	63.75	65.29	66.75	68.13	69.35	70.37	71.33	72.26	73.13	73.98	74.7	75.34	75.96	76.58	77.15
"Madagascar"	450	63.02	65.04	66.83	68.34	69.59	70.61	71.51	72.33	73.11	73.87	74.66	75.45	76.26	77.08	77.92	78.75	79.6	80.4
"Malawi"	454	54.88	56.63	58.14	59.57	60.79	61.95	63.17	64.4	65.6	66.78	67.93	69.09	70.22	71.3	72.34	73.35	74.31	75.23
"Mauritius"	480	70.18	71	71.83	72.7	73.6	74.53	75.47	76.44	77.39	78.26	79.05	79.74	80.38	80.99	81.55	82.11	82.65	83.19
"Mayotte"	175	76.04	77.35	78.32	79.19	80.01	80.78	81.52	82.24	82.93	83.61	84.27	84.91	85.54	86.16	86.77	87.36	87.95	88.55
"Mozambique"	508	49.23	51.15	53.81	56.52	59.1	61.45	63.59	65.53	67.05	68.12	69.16	70.16	71.15	72.12	73.04	73.87	74.59	75.26
"Reunion"	638	76.04	77.35	78.32	79.19	80.01	80.78	81.52	82.24	82.93	83.61	84.27	84.91	85.54	86.16	86.77	87.36	87.95	88.55
"Rwanda"	646	61.92	64.17	65.98	67.56	68.98	70.2	71.2	72.13	73.08	73.98	74.81	75.49	76.11	76.72	77.32	77.9	78.49	79.07
"Seychelles"	690	68.93	69.84	70.77	71.71	72.68	73.67	74.65	75.59	76.43	77.18	77.84	78.46	79.05	79.59	80.14	80.66	81.18	81.69
