"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	62.03	65.52	68.05	70.23	72.09	73.67	75.06	76.25	77.31	78.28	79.18	80.04	80.83	81.58	82.29	82.98	83.66	84.29
"Albania"	8	81.43	82.55	83.58	84.53	85.40	86.25	87.07	87.87	88.65	89.41	90.14	90.87	91.58	92.28	92.99	93.67	94.36	95.03
"Algeria"	12	73.85	75.09	76.14	77.07	77.94	78.76	79.54	80.29	80.99	81.69	82.37	83.03	83.66	84.30	84.92	85.51	86.12	86.73
"Antigua and Barbuda"	28	79.21	80.45	81.57	82.60	83.57	84.50	85.36	86.19	87.01	87.81	88.57	89.33	90.07	90.81	91.51	92.20	92.91	93.58
"Argentina"	32	80.77	81.92	82.99	83.98	84.92	85.81	86.67	87.52	88.33	89.13	89.90	90.65	91.39	92.13	92.85	93.55	94.26	94.93
"Armenia"	51	78.85	79.83	80.70	81.52	82.29	83.03	83.75	84.44	85.11	85.79	86.44	87.10	87.77	88.42	89.05	89.69	90.33	90.96
"Aruba"	533	78.73	79.75	80.66	81.49	82.27	83.00	83.72	84.40	85.08	85.73	86.39	87.04	87.67	88.29	88.91	89.53	90.16	90.78
"Australia"	36	85.43	86.53	87.55	88.52	89.43	90.33	91.18	92.00	92.82	93.61	94.39	95.14	95.88	96.61	97.33	98.05	98.73	99.43
"Austria"	40	84.31	85.40	86.40	87.36	88.27	89.14	89.97	90.79	91.59	92.37	93.13	93.88	94.61	95.34	96.05	96.76	97.46	98.15
"Azerbaijan"	31	74.88	75.96	76.92	77.81	78.65	79.45	80.23	80.98	81.73	82.43	83.13	83.81	84.48	85.13	85.80	86.45	87.08	87.71
"Bahrain"	48	78.42	79.53	80.50	81.40	82.23	83.01	83.77	84.48	85.18	85.88	86.55	87.21	87.89	88.55	89.20	89.84	90.47	91.11
"Bangladesh"	50	72.68	75.54	78.18	80.65	82.90	84.92	86.70	88.28	89.67	90.89	91.98	92.98	93.89	94.77	95.56	96.33	97.08	97.77
"Barbados"	52	78.69	79.95	81.08	82.11	83.09	84.00	84.88	85.71	86.53	87.32	88.09	88.85	89.58	90.31	91.04	91.73	92.43	93.10
"Belarus"	112	76.76	77.67	78.45	79.18	79.87	80.53	81.16	81.78	82.38	82.97	83.55	84.14	84.69	85.25	85.83	86.40	86.96	87.53
"Belgium"	56	83.80	84.88	85.88	86.82	87.72	88.58	89.42	90.23	91.03	91.79	92.54	93.28	94.02	94.72	95.43	96.12	96.80	97.49
"Bhutan"	64	69.83	72.72	75.23	77.41	79.32	80.96	82.39	83.66	84.81	85.82	86.79	87.70	88.55	89.33	90.12	90.87	91.58	92.28
"Bolivia (Plurinational State of)"	68	70.78	73.06	75.06	76.83	78.39	79.70	80.88	81.91	82.83	83.68	84.46	85.18	85.84	86.49	87.09	87.69	88.28	88.85
"Bosnia and Herzegovina"	70	79.77	80.86	81.83	82.72	83.54	84.33	85.09	85.81	86.53	87.24	87.92	88.61	89.28	89.95	90.60	91.25	91.88	92.53
"Brazil"	76	78.63	80.51	82.23	83.79	85.26	86.62	87.87	89.04	90.13	91.16	92.14	93.05	93.94	94.79	95.63	96.43	97.19	97.92
"Brunei Darussalam"	96	81.32	82.55	83.66	84.69	85.64	86.56	87.43	88.26	89.07	89.86	90.64	91.41	92.13	92.87	93.57	94.28	94.98	95.66
"Bulgaria"	100	78.17	79.07	79.87	80.63	81.34	82.01	82.68	83.33	83.97	84.59	85.21	85.81	86.42	87.04	87.64	88.26	88.86	89.47
"Cambodia"	116	75.52	78.06	80.28	82.19	83.81	85.19	86.36	87.35	88.22	89.02	89.76	90.44	91.09	91.71	92.31	92.88	93.44	94.01
"Canada"	124	84.29	85.28	86.20	87.05	87.87	88.67	89.44	90.19	90.94	91.66	92.36	93.06	93.74	94.42	95.08	95.75	96.40	97.06
"Cape Verde"	132	79.98	82.25	84.16	85.76	87.09	88.21	89.21	90.08	90.89	91.61	92.30	92.95	93.58	94.19	94.77	95.32	95.88	96.42
"Channel Islands"	830	83.04	83.97	84.82	85.62	86.40	87.16	87.90	88.63	89.34	90.06	90.76	91.45	92.14	92.84	93.51	94.19	94.86	95.53
"Chile"	152	83.51	84.90	86.14	87.29	88.37	89.37	90.32	91.24	92.11	92.94	93.74	94.51	95.28	96.03	96.75	97.47	98.18	98.87
"China"	156	77.68	78.95	80.07	81.10	82.06	82.96	83.81	84.61	85.39	86.16	86.89	87.61	88.31	89.00	89.69	90.35	91.01	91.67
"China, Hong Kong SAR"	344	87.11	88.35	89.47	90.52	91.52	92.48	93.39	94.26	95.11	95.92	96.72	97.50	98.27	99.01	99.75	100.47	101.18	101.89
"China, Macao SAR"	446	83.36	84.59	85.68	86.72	87.69	88.62	89.50	90.37	91.20	92.00	92.78	93.55	94.30	95.04	95.76	96.48	97.17	97.87
"Colombia"	170	78.67	80.06	81.26	82.38	83.41	84.38	85.30	86.18	87.03	87.84	88.63	89.40	90.15	90.89	91.62	92.33	93.04	93.72
"Comoros"	174	63.69	65.60	67.43	69.13	70.78	72.36	73.86	75.31	76.65	77.87	79.03	80.07	81.12	82.03	82.87	83.70	84.51	85.26
"Costa Rica"	188	82.98	84.15	85.20	86.17	87.09	87.95	88.77	89.58	90.35	91.11	91.84	92.56	93.27	93.97	94.66	95.33	96.00	96.66
"Croatia"	191	81.18	82.27	83.24	84.14	84.99	85.80	86.59	87.35	88.11	88.84	89.55	90.28	90.97	91.66	92.35	93.04	93.70	94.36
"Cuba"	192	82.05	83.14	84.12	85.03	85.89	86.71	87.50	88.28	89.02	89.76	90.47	91.19	91.89	92.58	93.26	93.92	94.59	95.26
"Curacao"	531	81.02	82.10	83.05	83.93	84.75	85.53	86.29	87.04	87.76	88.48	89.19	89.86	90.54	91.21	91.87	92.53	93.19	93.84
